text,true_label,pred_label,pred_prob_TRUE,error_type,confidence
"After investing many sleepessees resting looking into the various gadgets on offer, we’ve located that the very best robot vacuum cleaners are those that are very easy to use, easy to clean up as well as fit your house and also lifestyle.",FALSE,TRUE,0.936472,false_positive,0.936472
"'',
      //         ""Início brigade, que, de longascumbus vestigia fumus\n"",
      //         ""Terra, cùm pluvias cùm sordida cùm sordida pluvia\n"",
      //         ""Sed, dum tibi, deus, non fuit tibi, deus, non fuit.",FALSE,TRUE,0.9184159,false_positive,0.9184159
"Let us impress the audience once more
I'll start packing the room with the scent of flowers
I'll make sure they're all wearing their best clothes
And if they're not, I'll have them change into something better
I'll hire a band and I'll make sure they're playing all of their hits
I'll make sure the drinks are free and the music's loud
I'll make sure everyone's having a good time
I'll make sure the crowd is cheering for more
I'll make sure we're all dancing to the beat
I'll make sure the night goes on forever

I'll be the one who sets the mood
I'll be the one who keeps the party alive
I'll be the one who makes sure everyone's having fun
I'll be the one who makes sure the night never dies

I'll be the one who lights up the night
I'll be the one who keeps the party going strong
I'll be the one who keeps the vibe alive
I'll be the one who makes sure the night never goes.",FALSE,TRUE,0.8163503,false_positive,0.8163503
And with our modern technology getting snoopherised every single week | #bussofthefuture | #bussofthefuture | #bussofthefuture | #bussofthefuture | #bussofthefuture | #bussofthefuture | #bussofthefuture | #bussofthefuture | #bussofthefuture | #bussofthefuture | #bussofthefuture | #bussofthefuture | #bussofthefuture | #bussofthefuture | #bussofthefuture | #bussofthefuture | #bussofthefuture | #bussofthefuture | #bussofthefuture | #bussofthefuture | #bussofthefuture | #bussofthefuture | #bussofthefuture | #bussofthefuture | #bussofthefuture | #bussof.,FALSE,TRUE,0.63682294,false_positive,0.63682294
"Incorporare la diversité dans lec ou nos en musique , et laiss les couleurs s’entremêler
Il y a un temps où nous avons été très amis
Je te revo, et je me rappelle
Nous étions si heureux, si heureux
Avec la musique, et le soleil, et la mer
Nous avons ri, et chanté, et dansé, et roulé dans la boue
Avec les amis, et la paix, et le soleil, et la mer
Je te revo, et je me rappelle
Et j’oublie tout, et je me rappelle
Je me souviens de la maison, de la rue
Et de la place, et de la fontaine
Et de la rue, et de la place, et de la fontaine
Et de la place, et de la fontaine
Avec la musique, et le soleil, et la mer
Nous avons ri, et chanté, et dansé, et.",FALSE,TRUE,0.52664626,false_positive,0.52664626
"Through the design features of ECUTEC caps on cooking values spray nozes, the steam can escape freely.",FALSE,TRUE,0.5024166,false_positive,0.5024166
"Hence choosing the appropriate temperature relying on whether it as necessary. Based on the passage above, Could you paraphrase the sentence ""The temperature of the mixture should be adjusted to achieve the desired viscosity without overheating the polymer"" in simpler terms.",FALSE,TRUE,0.49343225,false_positive,0.49343225
"Ä°s part, we’
åä»åttes och det var inte jag jag själv kunde se och jag gick och jag tog mig fram och jag tillade mig och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag.",FALSE,TRUE,0.46898887,false_positive,0.46898887
"Trust and follow without doubt.""
""Trust in step-by-sequence? Who are 'you' and 'me'.",FALSE,TRUE,0.43313885,false_positive,0.43313885
"With that bit in the newsbite by ""The Noshin' Chef"" about the new ""Killer Sausage Roll"" at the local pub, you'll need to do some research on what makes a sausage roll ""killer"".",FALSE,TRUE,0.4326723,false_positive,0.4326723
