text,base_prob_TRUE,specialist_prob_TRUE,route_band,route_used,final_label
"Make adjustments monthly or quarterly as improvementsPushMatrix are made to address accountability, communication, and decision-making.",0.005871149,0.009959007,low_010_high_090,base_low_confident_FALSE,FALSE
"So whether exploring applications designed for business purposes or entertainment / leisure-only use,
it makes perfect since we are living capability has broad and indefinite potential.",0.97627467,0.9604916,low_010_high_090,base_high_confident_TRUE,TRUE
Sleep deprivation further worsens the mental declayout suffered due the hectic examination schedule.,0.0061996374,0.011845743,low_010_high_090,base_low_confident_FALSE,FALSE
"Create me one please!"" What person''s planner needs creating?
assistant:",0.033476137,0.052083142,low_010_high_090,base_low_confident_FALSE,FALSE
"Based this reading, how funable will the activities in nature we plan for our family be.",0.0042572827,0.0075296066,low_010_high_090,base_low_confident_FALSE,FALSE
They'd stop here half a thousand poems into Carol’s saga for nothing less a bagged selection of the interior architect s most prized possessions.,0.8694391,0.8753813,low_010_high_090,specialist_uncertain_band,TRUE
"If having an early teatreat, consider taking advantage and picking from mouthwatering selections that are available at the new Teatime at The Tea Shop in the heart of the city.",0.20161183,0.22825219,low_010_high_090,specialist_uncertain_band,TRUE
"But over years they also covered.
That will make ordering your ingredients and cooking your meals a lot easier.",0.005658966,0.009023258,low_010_high_090,base_low_confident_FALSE,FALSE
"It can irrupt sleep quality negatively loop, one of its most relevant negative effects impact on recipients heart disorders ecg in patients with sleep apnea.",0.9824117,0.9734903,low_010_high_090,base_high_confident_TRUE,TRUE
"Additionally, if you need to cross behind the train so passengers are carrying their luggage over their heads.",0.003854186,0.006551552,low_010_high_090,base_low_confident_FALSE,FALSE
"Several components should come key:
Floor plans: Floor panels displaying the location of stores and also services in the mall.",0.0054304544,0.009553464,low_010_high_090,base_low_confident_FALSE,FALSE
"Taking time using your favorite cleansing immediately.
But before we dove going any further, I want to mention that I’m a 100% natural girl.",0.008015629,0.011905649,low_010_high_090,base_low_confident_FALSE,FALSE
High-ranking fashion designers are having dilettentism with shoe trends consisting of the most recent season.,0.0053625884,0.010022834,low_010_high_090,base_low_confident_FALSE,FALSE
"Once standing at its summit. What an incredible feat! To be able to do this, I had to walk to the end of the road.",0.0040253145,0.006677335,low_010_high_090,base_low_confident_FALSE,FALSE
However there is essential that you understand you also need different materials for different tasks. Plumbing tools what am I die wearing there is also a type of pipe that is made from the plastic material.,0.9855993,0.97514355,low_010_high_090,base_high_confident_TRUE,TRUE
"At least, over multiple visits throughout history, to the cinema is a major part of the entertainment industry in the United States, and is a major source of income and employment for thousands of people.",0.004997559,0.008415946,low_010_high_090,base_low_confident_FALSE,FALSE
"When analyzing a particular technology outside your organization more broadly—is crucial when assessing return potential when considering a new technology include body-to-surface ratio, and the cost of materials and manufacturing.",0.9437889,0.91809165,low_010_high_090,base_high_confident_TRUE,TRUE
"Some people only acquire and use smartphones, while many preferred to avoid ownership entirely.
Choosing the type or form cell phone that possesses purchase beforehand, you should look for the following characteristics.",0.9796499,0.9706113,low_010_high_090,base_high_confident_TRUE,TRUE
"aoke, or trivia night are whisper county line by his side that night.",0.008525829,0.014106335,low_010_high_090,base_low_confident_FALSE,FALSE
"pops of red to create interest...
Summerclear Farm: Sunroom Arrangement - Daylily 'Honey Mango', Gerbera Daisy, and Hydrangea.",0.9695701,0.950597,low_010_high_090,base_high_confident_TRUE,TRUE
"This agenda has some variance depending as programs are imported. Some programs used to have regular meetings knowing-organized, but now they have become more infrequent.",0.54667586,0.6274382,low_010_high_090,specialist_uncertain_band,TRUE
"This kind of page will help keep mental tracking better, reducing your levels anxiety and worry.",0.0039673205,0.00696124,low_010_high_090,base_low_confident_FALSE,FALSE
"Clearly an arizona native myself), and associated them mentally to you. Since I was born and the others since they were adopted.",0.9446986,0.88682,low_010_high_090,base_high_confident_TRUE,TRUE
"As both a bus and train hub Metro Point Park & Town Tavern residents can easily take public transportation to work, school, and entertainment destinations throughout the city.",0.0066986475,0.011321068,low_010_high_090,base_low_confident_FALSE,FALSE
"To get quick results, ignite consistent effort discipline and make modifications according specifically.""
""I'm not a morning person.",0.007174993,0.01734459,low_010_high_090,base_low_confident_FALSE,FALSE
"If the description is not concise  enough to get completed in short time, then it is likely to make your reader lose interest.",0.0038020439,0.0058344947,low_010_high_090,base_low_confident_FALSE,FALSE
"Where a girl gets it.. Fifty-two 60s.
The girl who gets it, gets it.",0.0053106477,0.008161052,low_010_high_090,base_low_confident_FALSE,FALSE
Have I poked sticks to the heavens enough or might I need to make a small mountain of sticks.,0.003362479,0.0058296956,low_010_high_090,base_low_confident_FALSE,FALSE
"How thoughtful of me!"" it's as if his voice has a note in style that is sweet and low.",0.0037828756,0.0065570944,low_010_high_090,base_low_confident_FALSE,FALSE
"gives the chef full creative liberty. Symptoms include dizziness or sudden tremors, and can occur at any time of day.",0.0056511266,0.010447312,low_010_high_090,base_low_confident_FALSE,FALSE
Then how to incorporate new tree and foliage preferences into construction of outdoor structures suitable. Leading landscape outfactors in San Dimasiliano have the best ideas for landscaping your yard with trees and shrubs.,0.976752,0.9663984,low_010_high_090,base_high_confident_TRUE,TRUE
"Additionally included in classrooms, the art teacher send home artist rolls with their students throughout their school ...
Art Caves Decorating Co., Ltd.",0.9677133,0.9438613,low_010_high_090,base_high_confident_TRUE,TRUE
"By focusing less of an indoor rain environment to their window, individual households can decrease the amount of energy used by their air conditioning units, which can reduce their electricity bills and help to mitigate the effects of climate change.",0.0046492764,0.007838951,low_010_high_090,base_low_confident_FALSE,FALSE
"At Chef Lachaux Restaurant Nest à la Vanner (translated to Chef Lachaux's Nest at Home), the menu is a delightful mix of classic French and modern French-inspired dishes.",0.007276976,0.012701319,low_010_high_090,base_low_confident_FALSE,FALSE
"Şimdi Devolver Digital said in our acceptance meeting'.
The team is grateful for seeing “the light” people. Through many conversations with the team, I was able to understand that the team was in a position where they were trying to make a decision and I was there to provide the options they had.",0.97427124,0.9534856,low_010_high_090,base_high_confident_TRUE,TRUE
"Every thing was good me me - blood, blood plates etc great. But the service was very slow.",0.008133012,0.012989996,low_010_high_090,base_low_confident_FALSE,FALSE
"approve , recommend , applaud, enjoy Gates Mills News & Sports. Once you have tried the recipes above from the 'Taste of Cleveland' cookbook, let us know which ones you enjoyed the most.",0.16286805,0.13964094,low_010_high_090,specialist_uncertain_band,TRUE
"Seeing it groaning with weight is a bit more meaningful, significant action than simply having a comfortable place to drape plastic ties clamping down the lid.",0.97822124,0.9697768,low_010_high_090,base_high_confident_TRUE,TRUE
Slide projector presentation boards Saturday double murder in Leesburgh. The victim was a 29-year-old woman who was found in her apartment.,0.010773747,0.019141154,low_010_high_090,base_low_confident_FALSE,FALSE
Practice blending in natural shades upwards crease blends to achieve a gorgeous oestrogenic look.,0.0054635755,0.009834067,low_010_high_090,base_low_confident_FALSE,FALSE
"but if your friend and guests taste the wine after the party, they'll know it's not a good quality wine.",0.004156822,0.0074214386,low_010_high_090,base_low_confident_FALSE,FALSE
"Whether around the neck or unlocked firmly in place in an easy-access leather case, this handy guide is a great reference for any electric guitarist.",0.0062842946,0.010228297,low_010_high_090,base_low_confident_FALSE,FALSE
Applications - Types I. A unimellered or unidimensional object consists of two or now shown guidelines. The unimelled or unidimensional object is a straight or curved line.,0.08163886,0.24834166,low_010_high_090,base_low_confident_FALSE,FALSE
"Hereunder are described the most extended morphological and morphogenenetic events in the development of the avian embryo, from fertilization to hatching.",0.0050647077,0.00878421,low_010_high_090,base_low_confident_FALSE,FALSE
Here'' are ten recommendations included visually since there is practically nothing than can beat the sight of a delicious meal being served on a gorgeous tablecloth.,0.006007341,0.011015436,low_010_high_090,base_low_confident_FALSE,FALSE
"A similar method, that pays special concern altogether to larger organizational or company units rather issues, principles the OKX model goals which stands for.",0.98043984,0.96888185,low_010_high_090,base_high_confident_TRUE,TRUE
"After rinsding your face, frame comments into a separate text box. The text box will automatically resize as you type.",0.0057138004,0.009244871,low_010_high_090,base_low_confident_FALSE,FALSE
"And communicate those plans not particularly in order activism but really transparently. Because I ask that a win-win for everyone affects the total situation, which I think is very important.",0.9783318,0.968906,low_010_high_090,base_high_confident_TRUE,TRUE
Following up comes the tonemedrugstore/toni-stone-healer/. I then went to the web and found a few more articles on the subject.,0.008275154,0.015269141,low_010_high_090,base_low_confident_FALSE,FALSE
