text,true_label,pred_label,pred_prob_TRUE,abnormal_score,hard_category,raw_sample_weight_if_trained,error_type,confidence
"Приложиите в изб Millennimited by space, and focus only на тексте.",FALSE,TRUE,0.9980268,1,standard_FALSE,1.0,false_positive,0.9980268
"'',
      //         ""Início brigade, que, de longascumbus vestigia fumus\n"",
      //         ""Terra, cùm pluvias cùm sordida cùm sordida pluvia\n"",
      //         ""Sed, dum tibi, deus, non fuit tibi, deus, non fuit.",FALSE,TRUE,0.9979037,6,hard_messy_FALSE,2.0,false_positive,0.9979037
"Through the design features of ECUTEC caps on cooking values spray nozes, the steam can escape freely.",FALSE,TRUE,0.99760723,0,easy_clean_FALSE,0.85,false_positive,0.99760723
"Investing services can be a valuable tool [...tag=”finance,”]
Can Affiliate Marketers Use ClickBank to Promote Their Own Products.",FALSE,TRUE,0.9974402,3,hard_messy_FALSE,2.0,false_positive,0.9974402
"After investing many sleepessees resting looking into the various gadgets on offer, we’ve located that the very best robot vacuum cleaners are those that are very easy to use, easy to clean up as well as fit your house and also lifestyle.",FALSE,TRUE,0.99715924,3,hard_messy_FALSE,2.0,false_positive,0.99715924
""")
puts message.to_s.endsWith?$? ? """":""..."") # remove trailing newline if present
puts message.",FALSE,TRUE,0.99702317,5,hard_messy_FALSE,2.0,false_positive,0.99702317
숙련의 기술과 경 experi) Skype: 21 44 55 77 88.,FALSE,TRUE,0.9964491,2,medium_messy_FALSE,1.4,false_positive,0.9964491
"This sum total is equal you fund, as it paid. I will give you the option to pay for it in two payments if that would be more comfortable for you.",FALSE,TRUE,0.9963977,0,easy_clean_FALSE,0.85,false_positive,0.9963977
"Při přípravovaném jídlineno nakصات, rypcem, vystřihem a vložíme do misky.",FALSE,TRUE,0.995955,0,easy_clean_FALSE,0.85,false_positive,0.995955
"Incorporare la diversité dans lec ou nos en musique , et laiss les couleurs s’entremêler
Il y a un temps où nous avons été très amis
Je te revo, et je me rappelle
Nous étions si heureux, si heureux
Avec la musique, et le soleil, et la mer
Nous avons ri, et chanté, et dansé, et roulé dans la boue
Avec les amis, et la paix, et le soleil, et la mer
Je te revo, et je me rappelle
Et j’oublie tout, et je me rappelle
Je me souviens de la maison, de la rue
Et de la place, et de la fontaine
Et de la rue, et de la place, et de la fontaine
Et de la place, et de la fontaine
Avec la musique, et le soleil, et la mer
Nous avons ri, et chanté, et dansé, et.",FALSE,TRUE,0.9951278,5,hard_messy_FALSE,2.0,false_positive,0.9951278
"Hence choosing the appropriate temperature relying on whether it as necessary. Based on the passage above, Could you paraphrase the sentence ""The temperature of the mixture should be adjusted to achieve the desired viscosity without overheating the polymer"" in simpler terms.",FALSE,TRUE,0.99475974,3,hard_messy_FALSE,2.0,false_positive,0.99475974
"Renewable sources might provide a more efficient impact regeneration for future growth.
Smarter and Greentech solutions are needed to achieve our sustainability goals.",FALSE,TRUE,0.99254274,1,standard_FALSE,1.0,false_positive,0.99254274
"Due west of town what remained was a vast, barren theocracy, hostile and inhospitable to the needs of the people, but the city's leaders had grown fat on its own success.",FALSE,TRUE,0.9894866,0,easy_clean_FALSE,0.85,false_positive,0.9894866
"Facade Design Manual Lee Woosng is one type information here is a lot of people who have been looking for, this photo is the best photo on this website.",FALSE,TRUE,0.98614955,0,easy_clean_FALSE,0.85,false_positive,0.98614955
"Martens and J,Gosh.
Clicker Training for Dogs owners, trainers are using clicker training to teach obedience commands, housebreaking, and even agility training.",FALSE,TRUE,0.984373,1,standard_FALSE,1.0,false_positive,0.984373
"Ä°s part, we’
åä»åttes och det var inte jag jag själv kunde se och jag gick och jag tog mig fram och jag tillade mig och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag.",FALSE,TRUE,0.98409986,4,hard_messy_FALSE,2.0,false_positive,0.98409986
"Neighborhood watchdog.
The importance pdf watch report. Importance pdf, adobe pdf and watch report.",FALSE,TRUE,0.9832554,1,standard_FALSE,1.0,false_positive,0.9832554
"With that bit in the newsbite by ""The Noshin' Chef"" about the new ""Killer Sausage Roll"" at the local pub, you'll need to do some research on what makes a sausage roll ""killer"".",FALSE,TRUE,0.98115116,1,standard_FALSE,1.0,false_positive,0.98115116
Additionally create weekly and bi-varigate (every fortnightly( reminders– weekly and fortnightly) for each of the above mentioned tasks.,FALSE,TRUE,0.98098147,0,easy_clean_FALSE,0.85,false_positive,0.98098147
"First Social Media. Social Media Channels. What is Facebook Marketing? And on top through the internet, people can get to know what is going on in the world, and get to know their friends.",FALSE,TRUE,0.97805804,1,standard_FALSE,1.0,false_positive,0.97805804
"However,” she pauses, smiling dimulously, “in my excitement whether I should try to make you understand, I forgot to tell you that I was never really a member of the Society of Friends.",FALSE,TRUE,0.9525446,0,easy_clean_FALSE,0.85,false_positive,0.9525446
".'

        if painting_type.py.artist == 'Oil paintngt':",FALSE,TRUE,0.9512137,4,hard_messy_FALSE,2.0,false_positive,0.9512137
"As before, I was the last forum resident to respond.

Haven swiped her card and opened the door for me.",FALSE,TRUE,0.9508025,1,standard_FALSE,1.0,false_positive,0.9508025
"==========""
        
message += """"""methods/script/smilify_the_day_04.js
// Copyright 2010 The Android Open Source Project

/**
 * Given a string, returns the length of the shortest word in it.",FALSE,TRUE,0.94056326,5,hard_messy_FALSE,2.0,false_positive,0.94056326
"Serape, ""Tom cat antics"", ""Picky eater mama"", and ""Camping in style""
Serape, ""Tom cat antics,"" ""Picky eater mama,"" and ""Camping in style""
Serape, ""Tom cat antics,"" ""Picky eater mama,"" and ""Camping in style"" are three of the funniest videos that I've ever seen.",FALSE,TRUE,0.91335005,7,hard_messy_FALSE,2.0,false_positive,0.91335005
"Here Are Our Picks Dilute Your Wine at the End Most wine lovers know that white wine goes with fish, red wine goes with meat, and sparkling wine goes with celebrations.",FALSE,TRUE,0.8907519,1,standard_FALSE,1.0,false_positive,0.8907519
Draft an article providing upcoming advancements proposals in elementary school currichture accounting the following points.,FALSE,TRUE,0.8845809,1,standard_FALSE,1.0,false_positive,0.8845809
"Then maybe both of us will clearer underst etwand."")

    print(sol)
    print(s2)

    # print(s1.",FALSE,TRUE,0.8251285,4,hard_messy_FALSE,2.0,false_positive,0.8251285
"Unsung in their glory offered assistance to all mankind who have laboured.
But their own glory, they have left to the ages.",FALSE,TRUE,0.7448417,0,easy_clean_FALSE,0.85,false_positive,0.7448417
"}
        if (user.value.trim.toLowerCase() < ""xiii.-"") { // check if user input is valid
            throw new Error(""Invalid user input.",FALSE,TRUE,0.6021128,5,hard_messy_FALSE,2.0,false_positive,0.6021128
