text,true_label,pred_label,pred_prob_TRUE,error_type,confidence
"Hence choosing the appropriate temperature relying on whether it as necessary. Based on the passage above, Could you paraphrase the sentence ""The temperature of the mixture should be adjusted to achieve the desired viscosity without overheating the polymer"" in simpler terms.",FALSE,TRUE,0.9790596,false_positive,0.9790596
"Due west of town what remained was a vast, barren theocracy, hostile and inhospitable to the needs of the people, but the city's leaders had grown fat on its own success.",FALSE,TRUE,0.97156066,false_positive,0.97156066
"After investing many sleepessees resting looking into the various gadgets on offer, we’ve located that the very best robot vacuum cleaners are those that are very easy to use, easy to clean up as well as fit your house and also lifestyle.",FALSE,TRUE,0.9664658,false_positive,0.9664658
"Investing services can be a valuable tool [...tag=”finance,”]
Can Affiliate Marketers Use ClickBank to Promote Their Own Products.",FALSE,TRUE,0.9620544,false_positive,0.9620544
"'',
      //         ""Início brigade, que, de longascumbus vestigia fumus\n"",
      //         ""Terra, cùm pluvias cùm sordida cùm sordida pluvia\n"",
      //         ""Sed, dum tibi, deus, non fuit tibi, deus, non fuit.",FALSE,TRUE,0.94547504,false_positive,0.94547504
"Ä°s part, we’
åä»åttes och det var inte jag jag själv kunde se och jag gick och jag tog mig fram och jag tillade mig och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag.",FALSE,TRUE,0.93102676,false_positive,0.93102676
"Při přípravovaném jídlineno nakصات, rypcem, vystřihem a vložíme do misky.",FALSE,TRUE,0.9223285,false_positive,0.9223285
"Incorporare la diversité dans lec ou nos en musique , et laiss les couleurs s’entremêler
Il y a un temps où nous avons été très amis
Je te revo, et je me rappelle
Nous étions si heureux, si heureux
Avec la musique, et le soleil, et la mer
Nous avons ri, et chanté, et dansé, et roulé dans la boue
Avec les amis, et la paix, et le soleil, et la mer
Je te revo, et je me rappelle
Et j’oublie tout, et je me rappelle
Je me souviens de la maison, de la rue
Et de la place, et de la fontaine
Et de la rue, et de la place, et de la fontaine
Et de la place, et de la fontaine
Avec la musique, et le soleil, et la mer
Nous avons ri, et chanté, et dansé, et.",FALSE,TRUE,0.89525986,false_positive,0.89525986
"Приложиите в изб Millennimited by space, and focus only на тексте.",FALSE,TRUE,0.88243824,false_positive,0.88243824
"PersonallyI think we dramatically minimized everything that goes in to building a sustainable model. Based on the passage above, How did the author's experience with a previous company compare to their current company in terms of providing resources and support to employees.",FALSE,TRUE,0.7917009,false_positive,0.7917009
"First Social Media. Social Media Channels. What is Facebook Marketing? And on top through the internet, people can get to know what is going on in the world, and get to know their friends.",FALSE,TRUE,0.77298826,false_positive,0.77298826
""")
puts message.to_s.endsWith?$? ? """":""..."") # remove trailing newline if present
puts message.",FALSE,TRUE,0.7036652,false_positive,0.7036652
"Let us impress the audience once more
I'll start packing the room with the scent of flowers
I'll make sure they're all wearing their best clothes
And if they're not, I'll have them change into something better
I'll hire a band and I'll make sure they're playing all of their hits
I'll make sure the drinks are free and the music's loud
I'll make sure everyone's having a good time
I'll make sure the crowd is cheering for more
I'll make sure we're all dancing to the beat
I'll make sure the night goes on forever

I'll be the one who sets the mood
I'll be the one who keeps the party alive
I'll be the one who makes sure everyone's having fun
I'll be the one who makes sure the night never dies

I'll be the one who lights up the night
I'll be the one who keeps the party going strong
I'll be the one who keeps the vibe alive
I'll be the one who makes sure the night never goes.",FALSE,TRUE,0.7002385,false_positive,0.7002385
"==========""
        
message += """"""methods/script/smilify_the_day_04.js
// Copyright 2010 The Android Open Source Project

/**
 * Given a string, returns the length of the shortest word in it.",FALSE,TRUE,0.67459214,false_positive,0.67459214
"Facade Design Manual Lee Woosng is one type information here is a lot of people who have been looking for, this photo is the best photo on this website.",FALSE,TRUE,0.6607999,false_positive,0.6607999
14 Teams of twelve players with infantry and riding abilities have entered combat in eight regions to secure $1MN prize money.,TRUE,FALSE,0.006221751,false_negative,0.9937782
"How having others in it varies depending, rather, whenever someone wants it makes the learner feel threatened or inadequate."" He also adds, ""When the learner feels threatened or inadequate, the learner is less likely to want to learn.",TRUE,FALSE,0.006421977,false_negative,0.993578
"At certain temperatures the roast enhances specific coffee twigs that build flavors that complement the deep, chocolatey, rich; and creamy, buttery, nutty notes of the coffee.",TRUE,FALSE,0.0065677324,false_negative,0.9934323
"Our research team who are responsible of gathering materials and conclusions for the project are still behind on several goals, and there's nevertheless a question of exactly how long it will take to get to the conclusion of the project.",TRUE,FALSE,0.007483109,false_negative,0.9925169
"[DECODE ERROR] - The value for the ""decode"" parameter of the ""decode"" function is not valid.",TRUE,FALSE,0.0077149915,false_negative,0.992285
"Whether personal preferences lean far-drawn toward down-to-vertical or across-the-cliff cleaning systems, few invest well enough in the best cleaning tools.",TRUE,FALSE,0.007835148,false_negative,0.99216485
[DECODE ERROR] - Error decoding the input stream.,TRUE,FALSE,0.008393436,false_negative,0.9916066
"For an organized, confident ride at Draft Fiddle #7 we’ll head out from the parking at Woldson Rd and take the trail to the intersection of Woldson Rd and the Old North Fork Road.",TRUE,FALSE,0.009274701,false_negative,0.9907253
"If Amaris were going for three, maybe business, luxury hotel and casino next Saturday night in the port and heading inland, you’d be better off taking the train.",TRUE,FALSE,0.009506101,false_negative,0.9904939
[DECODE ERROR] 2.,TRUE,FALSE,0.009771996,false_negative,0.990228
"Sub Menu Products Browse our carefully-by curated smidge and smoggle lines, featuring snack supplements from trusted brand name manufacturers.",TRUE,FALSE,0.010552409,false_negative,0.9894476
quotesquizzes.com Can the speaker hit his spitball fast enough throughout a game so that most pitches pass the ball by the catcher.,TRUE,FALSE,0.011758172,false_negative,0.98824185
"🎂 Meanwhile in the US Senate chamber, soon-to-be-formers of ""the Squad"" make various noises and do little to nothing.",TRUE,FALSE,0.012211525,false_negative,0.9877885
So why do aspects that are critical or debatabbable elements are not addressed in the presented consideration? But whether it will take place or not will be decided by the person who has the power.,TRUE,FALSE,0.017172378,false_negative,0.9828276
"What action recommendations does Gordon suggest after diligent consideration”? Answer: After considerable analysis of various possible ways to approach higher-margin problems on a global scale, Gordon suggests the following action recommendations.",TRUE,FALSE,0.021001903,false_negative,0.9789981
"Friends
""It's incredible, we earn 598 dollars by selling our secret recipe for cooking mustard extract paste. It's a great deal.",TRUE,FALSE,0.02127406,false_negative,0.9787259
"How spicy can this burger heat it all buy? Blend the cooked rice solids, cucumber (peeled), seasoned pecan pieces with the remaining 1/4 cup of water and the remaining 1/2 cup of broth.",TRUE,FALSE,0.022793738,false_negative,0.9772063
"Deviate menu items to your taste preferences or avoid listed ingredients available ahead of ordering your meal items.
How Does The Keto Morning Mistake Happel?
How Does The Keto Morning Mistake Happel.",TRUE,FALSE,0.024637125,false_negative,0.9753629
"Online retail favors a different kind, but still exists via the complete online stores. Keeping up with fashion trends in 60s to present time is not an easy task.",TRUE,FALSE,0.03453513,false_negative,0.9654649
"Decide upon specific limiting principles that are reasonable while still generally achievable, such an amount or period of time versus ongoing effort or difficulty.

Once you’ve set these limits, it’s important to stick to them.",TRUE,FALSE,0.03930282,false_negative,0.9606972
Surely as important research is to angle to discern quinomycin function inside the cell included the field that has been researched.,TRUE,FALSE,0.043851063,false_negative,0.9561489
"Not-so-scienty) research I condo, come swimming, you'll accomplish another goal. She reads avidly, and is fond of science fiction and fantasy.",TRUE,FALSE,0.046085417,false_negative,0.9539146
"SCSI architecture refers to certain features included High data dependent technology, high level of fit between between primary and between nonparallel data transfer.",TRUE,FALSE,0.04816794,false_negative,0.95183206
"These findings differ profoundly from those observed among actors and provide other insights for plant biosis and evolution insights. In the process-based analysis of how the metabolic network of a plant species is constructed, it was discovered that the metabolic network of a plant species is a complex system that is capable of self-organization, which is a key characteristic of living systems.",TRUE,FALSE,0.049899325,false_negative,0.95010066
"What is lost of the time is used"",
        objects=[""food"", True], verbosity=0)

      to_buy_str = items_to_string(to_buy)

      if to_buy_str.",TRUE,FALSE,0.0510911,false_negative,0.9489089
It tickLES ME when those tiny little green weevilllettes crawl out of them. and flutter around in a neftiful dance.,TRUE,FALSE,0.0692839,false_negative,0.9307161
"What are blackjack etiquette?
Blackjack, also spelled Deeck Shot or simply Deeble, is cut amp, high-style hand prediction game played with one or more decks of 52 playing cards.",TRUE,FALSE,0.07527322,false_negative,0.9247268
"One particular highlight very close to his mom Katy Perry loves won’t even be viewed by her. She might point by pointing to it, but she won’t view it.",TRUE,FALSE,0.07542742,false_negative,0.9245726
relatively fixed to the allocated objects as slack was too much or too compared to device-mapper routines. Object oriented design is a technique for organizing and structuring code that is based on objects and classes.,TRUE,FALSE,0.08379032,false_negative,0.9162097
So gather inspiration online quickly and securely there's Alexa! This app transforms the Echo Spot with circulating music directly into your home.,TRUE,FALSE,0.083835244,false_negative,0.91616476
"What planning processes can one initiate should I require'?""}\
user:{s} {""assistant,""/s}  

The above response indicates the user wants to know if there is any specific planning process they can initiate in order to achieve their goal.",TRUE,FALSE,0.09071216,false_negative,0.9092878
"what would be cohesive in this sentence?)
Naah,I love it. Can you take a stab at this line?""The air is so thick with the smell of death that I can't breathe.",TRUE,FALSE,0.091322854,false_negative,0.90867716
"Using fine scissors specifically recommended but a standard shoeshask or pet clip won't hurt), or even a pair of fingering nail sheaves.",TRUE,FALSE,0.09426571,false_negative,0.9057343
Laying out wire baskets filled the dining theme of order and harmony. Both of dishes will be served with atabafo (sliced beef with potatoes in a tomato-based sauce) and rice.,TRUE,FALSE,0.096854545,false_negative,0.90314543
"Being successful and influential with millions on Social Audit, Harvey is widely regarded among marketers today at the forefront incorporating what they call 'influence marketing' into their campaigns.",TRUE,FALSE,0.09859089,false_negative,0.9014091
"Is it covered everywhere I look? Probably not!}
\hyperle{3pt}{12}{14pt]]:
4rd ed.",TRUE,FALSE,0.10071866,false_negative,0.8992813
