text,true_label,pred_label,pred_prob_TRUE,error_type,confidence,abnormal_score,hard_category,raw_sample_weight_if_trained
"After investing many sleepessees resting looking into the various gadgets on offer, we’ve located that the very best robot vacuum cleaners are those that are very easy to use, easy to clean up as well as fit your house and also lifestyle.",FALSE,TRUE,0.9981122,false_positive,0.9981122,3,hard_messy_FALSE,2.0
"Hence choosing the appropriate temperature relying on whether it as necessary. Based on the passage above, Could you paraphrase the sentence ""The temperature of the mixture should be adjusted to achieve the desired viscosity without overheating the polymer"" in simpler terms.",FALSE,TRUE,0.99763584,false_positive,0.99763584,3,hard_messy_FALSE,2.0
"'',
      //         ""Início brigade, que, de longascumbus vestigia fumus\n"",
      //         ""Terra, cùm pluvias cùm sordida cùm sordida pluvia\n"",
      //         ""Sed, dum tibi, deus, non fuit tibi, deus, non fuit.",FALSE,TRUE,0.99732363,false_positive,0.99732363,6,hard_messy_FALSE,2.0
"Investing services can be a valuable tool [...tag=”finance,”]
Can Affiliate Marketers Use ClickBank to Promote Their Own Products.",FALSE,TRUE,0.99732274,false_positive,0.99732274,3,hard_messy_FALSE,2.0
"Renewable sources might provide a more efficient impact regeneration for future growth.
Smarter and Greentech solutions are needed to achieve our sustainability goals.",FALSE,TRUE,0.996863,false_positive,0.996863,1,standard_FALSE,1.0
"PersonallyI think we dramatically minimized everything that goes in to building a sustainable model. Based on the passage above, How did the author's experience with a previous company compare to their current company in terms of providing resources and support to employees.",FALSE,TRUE,0.9964192,false_positive,0.9964192,3,hard_messy_FALSE,2.0
"Приложиите в изб Millennimited by space, and focus only на тексте.",FALSE,TRUE,0.99536884,false_positive,0.99536884,1,standard_FALSE,1.0
"Při přípravovaném jídlineno nakصات, rypcem, vystřihem a vložíme do misky.",FALSE,TRUE,0.9947366,false_positive,0.9947366,0,easy_clean_FALSE,0.85
"This sum total is equal you fund, as it paid. I will give you the option to pay for it in two payments if that would be more comfortable for you.",FALSE,TRUE,0.99318177,false_positive,0.99318177,0,easy_clean_FALSE,0.85
"Due west of town what remained was a vast, barren theocracy, hostile and inhospitable to the needs of the people, but the city's leaders had grown fat on its own success.",FALSE,TRUE,0.9901271,false_positive,0.9901271,0,easy_clean_FALSE,0.85
"First Social Media. Social Media Channels. What is Facebook Marketing? And on top through the internet, people can get to know what is going on in the world, and get to know their friends.",FALSE,TRUE,0.9831586,false_positive,0.9831586,1,standard_FALSE,1.0
CA PGP Software families encrypt sensitive mission-critic… Read technical literature about CA PGP Software families and how they can protect your sensitive information.,FALSE,TRUE,0.98192626,false_positive,0.98192626,0,easy_clean_FALSE,0.85
""")
puts message.to_s.endsWith?$? ? """":""..."") # remove trailing newline if present
puts message.",FALSE,TRUE,0.9732112,false_positive,0.9732112,5,hard_messy_FALSE,2.0
"Through examples sourced from various genres trimming' creative writing pieces for advanced, the book explores the interconnections between the two and demonstrates how they can be integrated to achieve a more powerful narrative voice.",FALSE,TRUE,0.94864875,false_positive,0.94864875,2,medium_messy_FALSE,1.4
"Hereinafter “strength” terms will be used for the purpose.
My past strength workouts consisted of 3-4 sets of 8-12 reps with moderate weight, but I would like to increase the intensity of my workouts by adding more weight.",FALSE,TRUE,0.94855404,false_positive,0.94855404,3,hard_messy_FALSE,2.0
"Incorporare la diversité dans lec ou nos en musique , et laiss les couleurs s’entremêler
Il y a un temps où nous avons été très amis
Je te revo, et je me rappelle
Nous étions si heureux, si heureux
Avec la musique, et le soleil, et la mer
Nous avons ri, et chanté, et dansé, et roulé dans la boue
Avec les amis, et la paix, et le soleil, et la mer
Je te revo, et je me rappelle
Et j’oublie tout, et je me rappelle
Je me souviens de la maison, de la rue
Et de la place, et de la fontaine
Et de la rue, et de la place, et de la fontaine
Et de la place, et de la fontaine
Avec la musique, et le soleil, et la mer
Nous avons ri, et chanté, et dansé, et.",FALSE,TRUE,0.94617695,false_positive,0.94617695,5,hard_messy_FALSE,2.0
"Martens and J,Gosh.
Clicker Training for Dogs owners, trainers are using clicker training to teach obedience commands, housebreaking, and even agility training.",FALSE,TRUE,0.90005577,false_positive,0.90005577,1,standard_FALSE,1.0
"Through the design features of ECUTEC caps on cooking values spray nozes, the steam can escape freely.",FALSE,TRUE,0.881112,false_positive,0.881112,0,easy_clean_FALSE,0.85
"Ä°s part, we’
åä»åttes och det var inte jag jag själv kunde se och jag gick och jag tog mig fram och jag tillade mig och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag.",FALSE,TRUE,0.8628253,false_positive,0.8628253,4,hard_messy_FALSE,2.0
"Inscribing your players usernames as comments around the plays introduces a familiar element to the game, as players recognize their own usernames and can easily identify their actions in the game.",FALSE,TRUE,0.72755164,false_positive,0.72755164,1,standard_FALSE,1.0
Through this narrow passageway is lodged Tom Hiddle (Loki: Avengers Assembled).,FALSE,TRUE,0.6711065,false_positive,0.6711065,0,easy_clean_FALSE,0.85
"Our research team who are responsible of gathering materials and conclusions for the project are still behind on several goals, and there's nevertheless a question of exactly how long it will take to get to the conclusion of the project.",TRUE,FALSE,0.0012718907,false_negative,0.9987281,3,standard_TRUE,1.0
"At certain temperatures the roast enhances specific coffee twigs that build flavors that complement the deep, chocolatey, rich; and creamy, buttery, nutty notes of the coffee.",TRUE,FALSE,0.0015203696,false_negative,0.9984796,0,hard_clean_TRUE,2.5
"For an organized, confident ride at Draft Fiddle #7 we’ll head out from the parking at Woldson Rd and take the trail to the intersection of Woldson Rd and the Old North Fork Road.",TRUE,FALSE,0.0017341255,false_negative,0.99826586,1,hard_clean_TRUE,2.5
[DECODE ERROR] - Error decoding the input stream.,TRUE,FALSE,0.0018261864,false_negative,0.99817383,2,medium_clean_TRUE,1.5
"[DECODE ERROR] - The value for the ""decode"" parameter of the ""decode"" function is not valid.",TRUE,FALSE,0.0018700014,false_negative,0.99813,2,medium_clean_TRUE,1.5
14 Teams of twelve players with infantry and riding abilities have entered combat in eight regions to secure $1MN prize money.,TRUE,FALSE,0.0021357262,false_negative,0.99786425,0,hard_clean_TRUE,2.5
"Sub Menu Products Browse our carefully-by curated smidge and smoggle lines, featuring snack supplements from trusted brand name manufacturers.",TRUE,FALSE,0.0032080181,false_negative,0.99679196,1,hard_clean_TRUE,2.5
"what would be cohesive in this sentence?)
Naah,I love it. Can you take a stab at this line?""The air is so thick with the smell of death that I can't breathe.",TRUE,FALSE,0.0040973388,false_negative,0.99590266,0,hard_clean_TRUE,2.5
[DECODE ERROR] 2.,TRUE,FALSE,0.004299674,false_negative,0.9957003,2,medium_clean_TRUE,1.5
"orraine

A: Alright!

T values for all others. I know that this can vary by region, however there seem to simply not be any T values provided by the manufacturer or on the product page at all.",TRUE,FALSE,0.0045558303,false_negative,0.9954442,2,medium_clean_TRUE,1.5
"What is lost of the time is used"",
        objects=[""food"", True], verbosity=0)

      to_buy_str = items_to_string(to_buy)

      if to_buy_str.",TRUE,FALSE,0.0046947007,false_negative,0.9953053,5,easy_noisy_TRUE,0.85
"How spicy can this burger heat it all buy? Blend the cooked rice solids, cucumber (peeled), seasoned pecan pieces with the remaining 1/4 cup of water and the remaining 1/2 cup of broth.",TRUE,FALSE,0.0062418063,false_negative,0.9937582,1,hard_clean_TRUE,2.5
"Student says: 

Hey professor/chat assistant/animator: 

Amir: sorry for not posting when I missed my chance to do so yesterday.",TRUE,FALSE,0.0065452796,false_negative,0.9934547,2,medium_clean_TRUE,1.5
"Is it covered everywhere I look? Probably not!}
\hyperle{3pt}{12}{14pt]]:
4rd ed.",TRUE,FALSE,0.013395478,false_negative,0.9866045,4,easy_noisy_TRUE,0.85
"What are blackjack etiquette?
Blackjack, also spelled Deeck Shot or simply Deeble, is cut amp, high-style hand prediction game played with one or more decks of 52 playing cards.",TRUE,FALSE,0.026805473,false_negative,0.97319454,0,hard_clean_TRUE,2.5
"Как аутор а комику герова из Tarzan, а то и спорно Туга Ніедор. А наша босса Туга не вдається до нас.",TRUE,FALSE,0.026963023,false_negative,0.973037,0,hard_clean_TRUE,2.5
"How having others in it varies depending, rather, whenever someone wants it makes the learner feel threatened or inadequate."" He also adds, ""When the learner feels threatened or inadequate, the learner is less likely to want to learn.",TRUE,FALSE,0.027612759,false_negative,0.97238725,3,standard_TRUE,1.0
"bool ok;

ok=isPerfectDay(s.text);
 std:::out if(ok)this is true*/  std::endl;
760     */
```

The program reads a string from the user and checks whether it is a perfect day.",TRUE,FALSE,0.02842929,false_negative,0.97157073,5,easy_noisy_TRUE,0.85
"If Amaris were going for three, maybe business, luxury hotel and casino next Saturday night in the port and heading inland, you’d be better off taking the train.",TRUE,FALSE,0.04274876,false_negative,0.95725125,0,hard_clean_TRUE,2.5
"Whether personal preferences lean far-drawn toward down-to-vertical or across-the-cliff cleaning systems, few invest well enough in the best cleaning tools.",TRUE,FALSE,0.06457588,false_negative,0.9354241,0,hard_clean_TRUE,2.5
"Using fine scissors specifically recommended but a standard shoeshask or pet clip won't hurt), or even a pair of fingering nail sheaves.",TRUE,FALSE,0.08883095,false_negative,0.91116905,0,hard_clean_TRUE,2.5
Laying out wire baskets filled the dining theme of order and harmony. Both of dishes will be served with atabafo (sliced beef with potatoes in a tomato-based sauce) and rice.,TRUE,FALSE,0.102433,false_negative,0.897567,0,hard_clean_TRUE,2.5
It tickLES ME when those tiny little green weevilllettes crawl out of them. and flutter around in a neftiful dance.,TRUE,FALSE,0.23094285,false_negative,0.76905715,0,hard_clean_TRUE,2.5
"- user : ""Where else has this old-school train station design been used""--classic, quaint setting

            ```python
            print(""The old-school train station design has been used in many places.",TRUE,FALSE,0.2876261,false_negative,0.7123739,5,easy_noisy_TRUE,0.85
