text,true_label,pred_label,pred_prob_TRUE,error_type,confidence,abnormal_score,hard_category,raw_sample_weight_if_trained
"Facade Design Manual Lee Woosng is one type information here is a lot of people who have been looking for, this photo is the best photo on this website.",FALSE,TRUE,0.9236841,false_positive,0.9236841,0,easy_clean_FALSE,0.85
"Hence choosing the appropriate temperature relying on whether it as necessary. Based on the passage above, Could you paraphrase the sentence ""The temperature of the mixture should be adjusted to achieve the desired viscosity without overheating the polymer"" in simpler terms.",FALSE,TRUE,0.92260104,false_positive,0.92260104,3,hard_messy_FALSE,2.0
"'',
      //         ""Início brigade, que, de longascumbus vestigia fumus\n"",
      //         ""Terra, cùm pluvias cùm sordida cùm sordida pluvia\n"",
      //         ""Sed, dum tibi, deus, non fuit tibi, deus, non fuit.",FALSE,TRUE,0.8705276,false_positive,0.8705276,7,hard_messy_FALSE,2.0
"Ä°s part, we’
åä»åttes och det var inte jag jag själv kunde se och jag gick och jag tog mig fram och jag tillade mig och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag.",FALSE,TRUE,0.84789115,false_positive,0.84789115,4,hard_messy_FALSE,2.0
"After investing many sleepessees resting looking into the various gadgets on offer, we’ve located that the very best robot vacuum cleaners are those that are very easy to use, easy to clean up as well as fit your house and also lifestyle.",FALSE,TRUE,0.805208,false_positive,0.805208,3,hard_messy_FALSE,2.0
Draft an article providing upcoming advancements proposals in elementary school currichture accounting the following points.,FALSE,TRUE,0.733955,false_positive,0.733955,1,standard_FALSE,1.0
"Při přípravovaném jídlineno nakصات, rypcem, vystřihem a vložíme do misky.",FALSE,TRUE,0.70185477,false_positive,0.70185477,0,easy_clean_FALSE,0.85
Footmen had started glaring red consequences on them to get awestrucks along the gullies.,FALSE,TRUE,0.6773991,false_positive,0.6773991,0,easy_clean_FALSE,0.85
"An environmental safety assessment is then need assessing wrapper, ielts application essays and the overall impact on the environment.",FALSE,TRUE,0.51876724,false_positive,0.51876724,0,easy_clean_FALSE,0.85
"According mobile statisics, by sources predicts a total number of blogs that are hosted in 2012, which is 31,000,000.",FALSE,TRUE,0.51785976,false_positive,0.51785976,1,standard_FALSE,1.0
Many countries focus on providing healthcare domestically discrepancy among the citizens causing frustration because of the lack of resources.,FALSE,TRUE,0.45113143,false_positive,0.45113143,0,easy_clean_FALSE,0.85
"If at anytime in case in press my bike get punctuere, I will not go back home on foot.",FALSE,TRUE,0.41310468,false_positive,0.41310468,0,easy_clean_FALSE,0.85
"Приложиите в изб Millennimited by space, and focus only на тексте.",FALSE,TRUE,0.400101,false_positive,0.400101,1,standard_FALSE,1.0
"Incorporare la diversité dans lec ou nos en musique , et laiss les couleurs s’entremêler
Il y a un temps où nous avons été très amis
Je te revo, et je me rappelle
Nous étions si heureux, si heureux
Avec la musique, et le soleil, et la mer
Nous avons ri, et chanté, et dansé, et roulé dans la boue
Avec les amis, et la paix, et le soleil, et la mer
Je te revo, et je me rappelle
Et j’oublie tout, et je me rappelle
Je me souviens de la maison, de la rue
Et de la place, et de la fontaine
Et de la rue, et de la place, et de la fontaine
Et de la place, et de la fontaine
Avec la musique, et le soleil, et la mer
Nous avons ri, et chanté, et dansé, et.",FALSE,TRUE,0.3784752,false_positive,0.3784752,5,hard_messy_FALSE,2.0
Away to store equipment inaccessible buildings illustrated the shed of a different style that offers a unique look to your garden.,FALSE,TRUE,0.37362692,false_positive,0.37362692,0,easy_clean_FALSE,0.85
"Hopefully a few rays wonâ-menagerija.com, a book of poems by the late SÃ©amus Heaney, who died last month.",FALSE,TRUE,0.35071975,false_positive,0.35071975,1,standard_FALSE,1.0
"Understanding its content allows individuals across age groups decide how, where all of other savings account, you can get a loan.",FALSE,TRUE,0.30648616,false_positive,0.30648616,0,easy_clean_FALSE,0.85
"Neighborhood watchdog.
The importance pdf watch report. Importance pdf, adobe pdf and watch report.",FALSE,TRUE,0.30249938,false_positive,0.30249938,1,standard_FALSE,1.0
