text,true_label,pred_label,pred_prob_TRUE,error_type,confidence
"To match my earlier description filed through the mind, the scent in both the original and the fragrance oil of this fragrance is a sweet, fruity aroma of ripe bananas.",FALSE,TRUE,0.43319967,false_positive,0.43319967
"The conversation will also touch on how ecommerce entrepreneurs must adapt by offering personalized cleaning supply product bundles based on the customer’s specific needs, such as pet-friendly products or products for specific types of flooring.",FALSE,TRUE,0.43139395,false_positive,0.43139395
"PersonallyI think we dramatically minimized everything that goes in to building a sustainable model. Based on the passage above, How did the author's experience with a previous company compare to their current company in terms of providing resources and support to employees.",FALSE,TRUE,0.43081686,false_positive,0.43081686
"Hereinafter “strength” terms will be used for the purpose.
My past strength workouts consisted of 3-4 sets of 8-12 reps with moderate weight, but I would like to increase the intensity of my workouts by adding more weight.",FALSE,TRUE,0.43069255,false_positive,0.43069255
"However this project was initiated.
""Yeah mother says, does it. And she's never wrong.",FALSE,TRUE,0.4301367,false_positive,0.4301367
"With KitchenAide, Apple offer you an accurate measure.

The temperature probe is connected to the Smart Scale.",FALSE,TRUE,0.42947736,false_positive,0.42947736
"Loki is such inspiration. Love his limitless creativity with his fashion outfits"", ""I'm so glad that we have the ability to express ourselves through fashion, and I'm grateful for the opportunity to show my creativity through the outfits I wear.",FALSE,TRUE,0.42743424,false_positive,0.42743424
Increased comfort has given newborn versions rows on the fashion highways—and the fashion-conscious parents who are willing to shell out the money for it.,FALSE,TRUE,0.42646372,false_positive,0.42646372
"Now is a wonderful season isnott it, with crisp weather in all the states. Makes me want to run around and play in the leaves and take walks in the park.",FALSE,TRUE,0.42643765,false_positive,0.42643765
The architecture at the shopping mall exit light plaza was inspired primarily through Frank Lloyd Wirt's Fallingwater in Pennsylvania.,FALSE,TRUE,0.4250757,false_positive,0.4250757
"Available online.
""HSA The Virtual Shoe Store Online Shop offers a complete spectrum of high quality shoes, boots and sandals for men, women and children.",FALSE,TRUE,0.42455554,false_positive,0.42455554
Researchers incorporate genetic manipulation exercises whereby they use molecular tools methods such CRsIPRs and TALENs to create genetic mutations in cells or organisms.,FALSE,TRUE,0.42417684,false_positive,0.42417684
"Woof!)
This chapter began by questioning the purpose and means employed
By a group of people who are not in the least bit insane.",FALSE,TRUE,0.4239632,false_positive,0.4239632
Incorporates pages to track your weekly home-front needs such weather calendars; monthly shopping checklists.,FALSE,TRUE,0.42389616,false_positive,0.42389616
"Meanwhile sales had been steadily rising UAE low fuel consumption car s up, but then in 2013 the UAE experienced a 27% drop in car sales, largely due to the introduction of a new vehicle registration tax.",FALSE,TRUE,0.42319196,false_positive,0.42319196
"All the details are important, depending welfare programs, the American Lung . The first step is to gather as much information as possible.",FALSE,TRUE,0.42166394,false_positive,0.42166394
"According mobile statisics, by sources predicts a total number of blogs that are hosted in 2012, which is 31,000,000.",FALSE,TRUE,0.42103824,false_positive,0.42103824
Maintenance and care of the termits working to protect people at the highest number of children.,FALSE,TRUE,0.42072478,false_positive,0.42072478
HOme Lifestyle travelannerinnies.com. 24 Jun How to organize the best family vacation ever.,FALSE,TRUE,0.4205621,false_positive,0.4205621
"Try one day’s menu, please stick.BigDecimal
The prices are the cheapest in the city, which is why I’m a regular.",FALSE,TRUE,0.42003006,false_positive,0.42003006
"This will ideally include a mix;"">
maximum flexibility, but then start to gradually reduce the number of possible states as the model becomes more complex.",FALSE,TRUE,0.41996562,false_positive,0.41996562
"When do you go grocery-boping?""

""I donâ´t know. One week?""

""Two weeks.",FALSE,TRUE,0.4191336,false_positive,0.4191336
"Based in Manchester, New York FoodM zenginler & Company (FMC) is a full-service marketing communications agency specializing in integrated marketing strategy, creative design, media production, and public relations.",FALSE,TRUE,0.41826135,false_positive,0.41826135
"it’s quite HDRAJN, however, that all of us are just interested in a very small portion of the overall system.",FALSE,TRUE,0.41771472,false_positive,0.41771472
"As before, I was the last forum resident to respond.

Haven swiped her card and opened the door for me.",FALSE,TRUE,0.41626075,false_positive,0.41626075
"Then maybe both of us will clearer underst etwand."")

    print(sol)
    print(s2)

    # print(s1.",FALSE,TRUE,0.41597155,false_positive,0.41597155
"bringing snow cover on top.
Land stratagem, a company in Tulsa specializing on data analytics for agriculture, has developed a new approach to precision agriculture that is now being tested in the field.",FALSE,TRUE,0.4156403,false_positive,0.4156403
"==========""
        
message += """"""methods/script/smilify_the_day_04.js
// Copyright 2010 The Android Open Source Project

/**
 * Given a string, returns the length of the shortest word in it.",FALSE,TRUE,0.41456446,false_positive,0.41456446
"(2) 

References:
""Project Evaluation Methods"" by Rajiv D.",FALSE,TRUE,0.41444433,false_positive,0.41444433
"However you decide upon organizing team catchframes, keep that structure simple!</a> 

## 3.",FALSE,TRUE,0.41412237,false_positive,0.41412237
"aptors. 13, ""Valvere A. G. and Kelly J."" E.",FALSE,TRUE,0.41223463,false_positive,0.41223463
