train_index,label_normalized,selection_reason,char_length,word_count,unique_word_ratio,repeated_token_ratio,non_alnum_ratio,weirdness_proxy,text_preview
1928,TRUE,TRUE_high_weirdness,278,112,0.125,0.875,0.025179856115107913,0.39240107913669064,"Thatcher D'souzechua 64470 Aluminé (Argentine Temuco Ar 1 S.O Paulo, SP, Brazil) 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1"
2289,TRUE,TRUE_high_weirdness,325,36,0.3055555555555556,0.6944444444444444,0.28,0.38016666666666665,"={}"", font_size  def show_regular_groupevent(project_team_log_entry, timer): 	chatformat = """""" <align center><font size={} bold>{}</font> <align center><font size={} bold>{} {}</font> <align center><font size={} bold>{} "
294,TRUE,TRUE_high_weirdness,967,216,0.06944444444444445,0.9305555555555556,0.004136504653567736,0.32848179746447587,･They had a basic need - communications and transmittl of skills and intellect. Essays go south of the south of the south of the south of the south of the south of the south of the south of the south of the south of the 
4233,TRUE,TRUE_high_weirdness,822,168,0.1130952380952381,0.8869047619047619,0.03527980535279805,0.32629257907542575,Try modeling yours off different actresses/hottubaru galleryn. What have you inherited throughout the gregar book + can I use the gregar book + can I use the gregar book + can I use the gregar book + can I use the gregar
1887,FALSE,FALSE_low_weirdness,173,28,1.0,0.0,0.005780346820809248,0.002601156069364162,My company has an IO carpooling system that enables employees from any department around the world to connect with colleagues who live within driving distance of each other.
2967,FALSE,FALSE_low_weirdness,157,22,1.0,0.0,0.006369426751592357,0.0028662420382165607,Supporters of development believe the will bring an influx economic revenue for businesses that were struggling amid competition from online shopping giants.
917,FALSE,FALSE_low_weirdness,154,24,1.0,0.0,0.006493506493506494,0.002922077922077922,My ultimate dream would showcase the detailed steps one take to start something from rickety beginnings and grow it into a successful business enterprise.
706,FALSE,FALSE_low_weirdness,142,23,1.0,0.0,0.007042253521126761,0.0031690140845070424,Many musicians turned artists believe now view streaming music more as another form ad revenue rather than the primary source of their income.
2253,TRUE,TRUE_random_sample,204,35,0.9428571428571428,0.05714285714285716,0.024509803921568627,0.03299019607843138,"Stay abreasted featuring articles on emerging designs like athleading wear's rise or the re-born 80\multum fashion trend, as well as classic fashion staples and timeless pieces that never go out of style."
2124,TRUE,TRUE_random_sample,148,25,0.92,0.07999999999999996,0.0472972972972973,0.04928378378378377,"Home and kitchen items  ""Welcome writer. Whether someone lives or doesn&aposfit, haven’t got you more relaxed and comfortable than you’ve ever been."
2335,FALSE,FALSE_random_sample,123,18,0.9444444444444444,0.05555555555555558,0.024390243902439025,0.04153116531165312,Colin (owner/saledoman sleek and modern design showcasing its sleek contemporary style with a blend of industrial elements.
3458,FALSE,FALSE_random_sample,183,35,0.8571428571428571,0.1428571428571429,0.01092896174863388,0.06063231850117098,But knowing how much money you should redistribute ends up becoming a daunting moment. That is why you need to make sure that you are not taking away more than you can afford to give.
