text,true_label,pred_label,pred_prob_TRUE,error_type,confidence,abnormal_score,hard_category,raw_sample_weight_if_trained
"Investing services can be a valuable tool [...tag=”finance,”]
Can Affiliate Marketers Use ClickBank to Promote Their Own Products.",FALSE,TRUE,0.99891806,false_positive,0.99891806,3,hard_messy_FALSE,2.0
"After investing many sleepessees resting looking into the various gadgets on offer, we’ve located that the very best robot vacuum cleaners are those that are very easy to use, easy to clean up as well as fit your house and also lifestyle.",FALSE,TRUE,0.9987993,false_positive,0.9987993,3,hard_messy_FALSE,2.0
"'',
      //         ""Início brigade, que, de longascumbus vestigia fumus\n"",
      //         ""Terra, cùm pluvias cùm sordida cùm sordida pluvia\n"",
      //         ""Sed, dum tibi, deus, non fuit tibi, deus, non fuit.",FALSE,TRUE,0.9984669,false_positive,0.9984669,6,hard_messy_FALSE,2.0
"Приложиите в изб Millennimited by space, and focus only на тексте.",FALSE,TRUE,0.99837697,false_positive,0.99837697,1,standard_FALSE,1.0
"This sum total is equal you fund, as it paid. I will give you the option to pay for it in two payments if that would be more comfortable for you.",FALSE,TRUE,0.99797755,false_positive,0.99797755,0,easy_clean_FALSE,0.85
""")
puts message.to_s.endsWith?$? ? """":""..."") # remove trailing newline if present
puts message.",FALSE,TRUE,0.9979752,false_positive,0.9979752,5,hard_messy_FALSE,2.0
"Hence choosing the appropriate temperature relying on whether it as necessary. Based on the passage above, Could you paraphrase the sentence ""The temperature of the mixture should be adjusted to achieve the desired viscosity without overheating the polymer"" in simpler terms.",FALSE,TRUE,0.9979729,false_positive,0.9979729,3,hard_messy_FALSE,2.0
"Due west of town what remained was a vast, barren theocracy, hostile and inhospitable to the needs of the people, but the city's leaders had grown fat on its own success.",FALSE,TRUE,0.997416,false_positive,0.997416,0,easy_clean_FALSE,0.85
"PersonallyI think we dramatically minimized everything that goes in to building a sustainable model. Based on the passage above, How did the author's experience with a previous company compare to their current company in terms of providing resources and support to employees.",FALSE,TRUE,0.99722797,false_positive,0.99722797,3,hard_messy_FALSE,2.0
"Při přípravovaném jídlineno nakصات, rypcem, vystřihem a vložíme do misky.",FALSE,TRUE,0.996799,false_positive,0.996799,0,easy_clean_FALSE,0.85
