text,true_label,pred_label,pred_prob_TRUE,error_type,confidence,char_length,word_count,sentence_count,max_word_length,avg_word_length,stopword_ratio,unique_word_ratio,repeated_token_count,newline_count
"Our research team who are responsible of gathering materials and conclusions for the project are still behind on several goals, and there's nevertheless a question of exactly how long it will take to get to the conclusion of the project.",TRUE,FALSE,0.010491843335330486,false_negative,0.9895081520080566,237.0,40.0,1.0,12.0,4.9,0.475,0.8,0.0,0.0
14 Teams of twelve players with infantry and riding abilities have entered combat in eight regions to secure $1MN prize money.,TRUE,FALSE,0.010603013448417187,false_negative,0.9893969893455505,126.0,21.0,1.0,9.0,4.9523809523809526,0.2857142857142857,1.0,0.0,0.0
"Decide upon specific limiting principles that are reasonable while still generally achievable, such an amount or period of time versus ongoing effort or difficulty.

Once you’ve set these limits, it’s important to stick to them.",TRUE,FALSE,0.016778988763689995,false_negative,0.9832209944725037,228.0,37.0,2.0,10.0,5.054054054054054,0.2972972972972973,0.945945945945946,0.0,2.0
"Friends
""It's incredible, we earn 598 dollars by selling our secret recipe for cooking mustard extract paste. It's a great deal.",TRUE,FALSE,0.01700301468372345,false_negative,0.9829970002174377,128.0,21.0,3.0,10.0,4.9523809523809526,0.238095238095238,0.9523809523809524,0.0,1.0
"How having others in it varies depending, rather, whenever someone wants it makes the learner feel threatened or inadequate."" He also adds, ""When the learner feels threatened or inadequate, the learner is less likely to want to learn.",TRUE,FALSE,0.02027273178100586,false_negative,0.9797272682189941,234.0,38.0,2.0,10.0,4.973684210526316,0.3421052631578947,0.7631578947368421,0.0,0.0
"At certain temperatures the roast enhances specific coffee twigs that build flavors that complement the deep, chocolatey, rich; and creamy, buttery, nutty notes of the coffee.",TRUE,FALSE,0.020676767453551292,false_negative,0.9793232083320618,175.0,26.0,1.0,12.0,5.538461538461538,0.3076923076923077,0.8461538461538461,0.0,0.0
[DECODE ERROR] - Error decoding the input stream.,TRUE,FALSE,0.022110428661108017,false_negative,0.9778895974159241,49.0,7.0,1.0,8.0,5.428571428571429,0.1428571428571428,0.8571428571428571,1.0,0.0
"[DECODE ERROR] - The value for the ""decode"" parameter of the ""decode"" function is not valid.",TRUE,FALSE,0.022684114053845406,false_negative,0.9773159027099609,92.0,15.0,1.0,9.0,4.6,0.4666666666666667,0.7333333333333333,0.0,0.0
"Book descriptions on Amazon . The New Testimony library, consisting of over cooking disease, tells things about a healthy and balanced life.",TRUE,FALSE,0.024538187310099602,false_negative,0.9754618406295776,140.0,21.0,2.0,12.0,5.476190476190476,0.238095238095238,1.0,0.0,0.0
[DECODE ERROR] 2.,TRUE,FALSE,0.03634987771511078,false_negative,0.963650107383728,17.0,3.0,1.0,6.0,4.0,0.0,1.0,0.0,0.0
"🎂 Meanwhile in the US Senate chamber, soon-to-be-formers of ""the Squad"" make various noises and do little to nothing.",TRUE,FALSE,0.039523232728242874,false_negative,0.9604767560958862,117.0,21.0,1.0,9.0,4.333333333333333,0.3809523809523809,0.9047619047619048,0.0,0.0
"With smoked fish powder on top.
Starty, startza!
I love this recipe - it goes down well and Amy is doing great. I've been experimenting with smoked fish powder lately and this is a great way to use it.",TRUE,FALSE,0.03977127745747566,false_negative,0.9602287411689758,201.0,38.0,4.0,13.0,4.131578947368421,0.3684210526315789,0.7631578947368421,0.0,2.0
So gather inspiration online quickly and securely there's Alexa! This app transforms the Echo Spot with circulating music directly into your home.,TRUE,FALSE,0.043146196752786636,false_negative,0.9568538069725037,146.0,22.0,2.0,11.0,5.590909090909091,0.2272727272727272,1.0,0.0,0.0
"For an organized, confident ride at Draft Fiddle #7 we’ll head out from the parking at Woldson Rd and take the trail to the intersection of Woldson Rd and the Old North Fork Road.",TRUE,FALSE,0.04409099742770195,false_negative,0.955909013748169,179.0,35.0,1.0,12.0,4.057142857142857,0.4,0.8,0.0,0.0
