method,test_row_id,neighbor_rank,similarity,train_row_id,train_label,test_char_length,train_char_length,test_word_count,train_word_count,test_text,train_text
char_tfidf_3_5,0,1,0.24513581719977673,4825,FALSE,135,140,16,23,"Make adjustments monthly or quarterly as improvementsPushMatrix are made to address accountability, communication, and decision-making.",Planning helps you achieve prevention-focused goals by making sure every adjustment and decision you make is in line with your overall plan.
char_tfidf_3_5,0,2,0.20255158998387301,3784,FALSE,135,226,16,32,"Make adjustments monthly or quarterly as improvementsPushMatrix are made to address accountability, communication, and decision-making.","Students could also take ownership that modern information communication systems, internet capabilities, and the ability to access information at any time, anywhere has made it easier for people to communicate and collaborate."
char_tfidf_3_5,0,3,0.18216775683318498,3639,TRUE,135,224,16,33,"Make adjustments monthly or quarterly as improvementsPushMatrix are made to address accountability, communication, and decision-making.",You want to stress transparency and accountability to relay your department brand and goals with the grocery center and improve the overall shopping associate atmosphere that surely will lead to better customer satisfaction.
char_tfidf_3_5,0,4,0.1653953756002664,4594,TRUE,135,283,16,38,"Make adjustments monthly or quarterly as improvementsPushMatrix are made to address accountability, communication, and decision-making.","However understanding and utilizing business tone, grammar regs and nuances professionally can prove tricky. Breakbar offers a fun immersive communication skills boot camp for professionals of all levels to improve their communication abilities and work towards professional success."
char_tfidf_3_5,0,5,0.1650358191509672,1739,FALSE,135,189,16,26,"Make adjustments monthly or quarterly as improvementsPushMatrix are made to address accountability, communication, and decision-making.","As digitization and automation continue creating wide-ranging disruptions into current affairs situations, the necessity for data-driven decision-making has become more essential than ever."
char_tfidf_3_5,1,1,0.20564115053740106,4647,FALSE,185,202,26,30,"So whether exploring applications designed for business purposes or entertainment / leisure-only use,\nit makes perfect since we are living capability has broad and indefinite potential.",":) \n\nI think Nonamedude has made a brilliant start in identifying some very interesting potential applications for this technology, and it's great to see that others are already exploring similar ideas."
char_tfidf_3_5,1,2,0.16420465538821816,3897,FALSE,185,196,26,29,"So whether exploring applications designed for business purposes or entertainment / leisure-only use,\nit makes perfect since we are living capability has broad and indefinite potential.","For examples such tasks, after identififying leisure and certain activities that are enjoyed by the elderly, it is possible to provide them with opportunities to participate in leisure activities."
char_tfidf_3_5,1,3,0.15249123142516197,732,FALSE,185,97,26,14,"So whether exploring applications designed for business purposes or entertainment / leisure-only use,\nit makes perfect since we are living capability has broad and indefinite potential.","Potential areas for development assess well-maintainting a micro, small or medium-sized business."
char_tfidf_3_5,1,4,0.1463751204567576,1347,FALSE,185,146,26,21,"So whether exploring applications designed for business purposes or entertainment / leisure-only use,\nit makes perfect since we are living capability has broad and indefinite potential.","However we will be practical approach, we'll assess the effectiveness rather by considering the performance of the business and the profitability."
char_tfidf_3_5,1,5,0.14543871373790251,3218,FALSE,185,134,26,24,"So whether exploring applications designed for business purposes or entertainment / leisure-only use,\nit makes perfect since we are living capability has broad and indefinite potential.",And if only this magical terrain and moment could endure indefinitely. It all felt more vivid and alive than anything else in my life.
char_tfidf_3_5,2,1,0.25172389595668043,445,FALSE,100,93,13,15,Sleep deprivation further worsens the mental declayout suffered due the hectic examination schedule.,A well adjusted workout makes keeping up my active regime simpler despite my hectic schedule.
char_tfidf_3_5,2,2,0.17011194624790915,2554,FALSE,100,164,13,27,Sleep deprivation further worsens the mental declayout suffered due the hectic examination schedule.,"In general, when conducting a discussion about finding an optimal schedule or layout it pays to be specific about the goals and constraints that must be considered."
char_tfidf_3_5,2,3,0.1522942357326118,3274,FALSE,100,184,13,30,Sleep deprivation further worsens the mental declayout suffered due the hectic examination schedule.,"On certain stations in particular competitive hearing the schedule might vary every half hour. The schedule will be posted on the station's website, or can be requested over the phone."
char_tfidf_3_5,2,4,0.15061973513745752,2848,TRUE,100,227,13,36,Sleep deprivation further worsens the mental declayout suffered due the hectic examination schedule.,"Spa lighting works towards creating your hectic schedule extra healthy while also serving as soothing ambiance.\nOn the other positive efforts according, the lighting of your spa room can be used to create a relaxing atmosphere."
