text,true_label,oof_pred_label,oof_prob_TRUE,error_type,confidence
"Incorporare la diversité dans lec ou nos en musique , et laiss les couleurs s’entremêler
Il y a un temps où nous avons été très amis
Je te revo, et je me rappelle
Nous étions si heureux, si heureux
Avec la musique, et le soleil, et la mer
Nous avons ri, et chanté, et dansé, et roulé dans la boue
Avec les amis, et la paix, et le soleil, et la mer
Je te revo, et je me rappelle
Et j’oublie tout, et je me rappelle
Je me souviens de la maison, de la rue
Et de la place, et de la fontaine
Et de la rue, et de la place, et de la fontaine
Et de la place, et de la fontaine
Avec la musique, et le soleil, et la mer
Nous avons ri, et chanté, et dansé, et.",FALSE,TRUE,0.9012876357349594,false_positive,0.9012876357349594
"Around noontide,
William Shakespeare wrote the Oxford Coranto, or, The Merry Conceits of the Merry Gypsies.",FALSE,TRUE,0.8851787791866833,false_positive,0.8851787791866833
"Based the feedback we're producing #gaming events like IGCSE HOLIDAY WORKSHOPS, #IGCSE EXAM TUTORING, #IGCSE MOCK EXAMS, #IGCSE HOMEWORK HELP, #IGCSE REVISION COURSES and #IGCSE A LEVEL COURSES.",FALSE,TRUE,0.8713087568411038,false_positive,0.8713087568411038
"ermal damage.
My next favorite characterulator, as it is not studied much in depth, is the ""certain"" and ""certainly.",FALSE,TRUE,0.8701876453780087,false_positive,0.8701876453780087
"पौफिंफ्युल_Aंगिन्न (gossamer) के 2 प्रमुख बिंदुओं को जोड़ने वाली रेखा के साथ तीन आंकड़े बनाना है। इनमें प्राथमिक बिंदु (gossamer) के दोनों तरफ दूसरे बिंदुओं (gossamer) को जोड़ने वाली रेखाएं शामिल हैं। प्राथमिक बिंदु (gossamer) की एक सी दिशा में दूसरे बिंदुओं (gossamer) के लिए दोनों रेखाएं बनानी हैं। इन दोनों रेखाओं का मिलन बिंदु (gossamer) के नीचे होना चाहिए, और इन दोनों रेखाओं के बीच का कोण (g.",FALSE,TRUE,0.865331910232729,false_positive,0.865331910232729
"When using palace memoraid more memorable_.
* **Taxis**.",FALSE,TRUE,0.8598883099686034,false_positive,0.8598883099686034
"Therefore:
the high was ill—
the temperature's high temperature temperature was high
for that day's temperature
and the day's temperature was high
for the day's high temperature.",FALSE,TRUE,0.8533544595566199,false_positive,0.8533544595566199
"'',
      //         ""Início brigade, que, de longascumbus vestigia fumus\n"",
      //         ""Terra, cùm pluvias cùm sordida cùm sordida pluvia\n"",
      //         ""Sed, dum tibi, deus, non fuit tibi, deus, non fuit.",FALSE,TRUE,0.8495348252070699,false_positive,0.8495348252070699
"In terms 

of aesthetics,[double underline]
the doorway I perceive is a portal
to a realm of unspoken words,
a place where darkness reigns
and light is scarce.",FALSE,TRUE,0.8459809509368522,false_positive,0.8459809509368522
Today scientists can still benefit significantly A Message Sent to a Dragon. 04/12/2012В В· The Book Thief by Markus Zusak.,FALSE,TRUE,0.8444132503509022,false_positive,0.8444132503509022
"However familiar the routine, salvation allows us to find comfort through similarity. The protagonist's journey through the underworld, however, is not the same as the reader's.",FALSE,TRUE,0.8431950660135052,false_positive,0.8431950660135052
"""){
            breakfast += breakfast-line::""The National Renewable Resource Lab (NREL) in Golden, Colorado, has been working on a project called the ""PV Value Calculator"" since 2004.",FALSE,TRUE,0.8423044899010663,false_positive,0.8423044899010663
"Feel
Free
To Drop Ad Spencer A Day By In Heartbreakers Line
You Know I'm Yours, You Know You're Mine
And I'll Be Here, I'll Always Be Here
When You Call

Ad Spencer

# Contents

  1.",FALSE,TRUE,0.8421009466220314,false_positive,0.8421009466220314
"*/
}

/* ExerciseArm.svelte uses the following functions :function */
function create_fragment(context) {
  var root = new SvelteComponentDev().",FALSE,TRUE,0.8382112800694036,false_positive,0.8382112800694036
Here that means starting Warhamster on the side of Glotkin and then using the Warhammer as a distraction to get to the enemy.,FALSE,TRUE,0.8295166329559139,false_positive,0.8295166329559139
")

(That said from lack thereof...)

(Incipience is a big long word.",FALSE,TRUE,0.8290593129087538,false_positive,0.8290593129087538
Obviously it's one integral pet that has been missing thus http://samedayessayonline.,FALSE,TRUE,0.8261612229790841,false_positive,0.8261612229790841
"_hooking to one another” nonetheless felt the need “To go elsewhere.”

The need to go elsewhere was not a new feeling for the characters in the play.",FALSE,TRUE,0.824859672478506,false_positive,0.824859672478506
"}  
            echo ""- Simple demonstrations rather hard-wiring into technical jargons"" >> $log
            echo ""- Demonstrations often overcomplicated and confusing to the non-technical users.",FALSE,TRUE,0.8191557628697369,false_positive,0.8191557628697369
"Topic Name? 15321shares

# Topic

# Title/Question for Discussion

# Subtopics

# Background Information

# Research Questions

# Hypotheses

# Variables

# Data Collection

# Data Analysis

# Sample Size

# Sample Selection

# Population

# Inclusion Criteria

# Exclusion Criteria

# Data Cleaning

# Data Management

# Instruments

# Pilot Study

# Validity

# Reliability

# Test-Retest Reliability

# Internal Consistency

# Inter-Rater Reliability

# Interrater Agreement

# Convergent Validity

# Criterion Validity

# Predictive Validity

# Discussion

# Limitations

# Conclusion

# Recommendations

# Future Research

# References

# Table of Contents

# Abstract

# Introduction

# Literature Review

# Methods

# Results

# Discussion

# Conclusion

# References

# Appendix

# Topic Name.",FALSE,TRUE,0.8169705446500641,false_positive,0.8169705446500641
"Pack for 50mp basis!
=D. And don&#821+t forget to put &#8220.",FALSE,TRUE,0.814420708091991,false_positive,0.814420708091991
PROCAT provides shopping centers that planet loe the environment due unobtrusively.,FALSE,TRUE,0.8120886164304055,false_positive,0.8120886164304055
"Happy Tuesday!'
    elif currentOspirant == ""Druidism"":",FALSE,TRUE,0.8097230642819039,false_positive,0.8097230642819039
"]
    - 2 + some text here

**Buns of steel**

[1].",FALSE,TRUE,0.8077036135628102,false_positive,0.8077036135628102
Any specific rules or allergies in of Konstntriik-kunstnaren och och till och med det tysta och skuggorna och skuggornas och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna och skuggorna.,FALSE,TRUE,0.8073999512643525,false_positive,0.8073999512643525
"Recommend healthy choices based be goals as methylmalnic academia research proposal form, and is usually associated with a history of the disease.",FALSE,TRUE,0.8070913735315761,false_positive,0.8070913735315761
"Hence choosing the appropriate temperature relying on whether it as necessary. Based on the passage above, Could you paraphrase the sentence ""The temperature of the mixture should be adjusted to achieve the desired viscosity without overheating the polymer"" in simpler terms.",FALSE,TRUE,0.806702430669761,false_positive,0.806702430669761
"**

---

**The Listening Artist**

I heard you loud and clearly

I hear you in my dreams

I hear you when you're silent

I hear you when you scream

I hear you when you're still

I hear the sound of your heartbeat

I hear the whispers of your soul

I hear the rhythm of your life

I hear the music of your goal

I hear your voice when you're not here

I hear the echoes of your fears

I hear the laughter in your tears

I hear the melody in your despair

I hear your secrets, your desires

I hear your hopes, your dreams, your fires

I hear the story of your life

I hear the beat of your heart

I hear your music, your art

I hear your voice, your song

I hear your story, your life

I'm the listening artist, the one who's here to stay

I'll listen to your every word, every single day

I'll listen to your laughter, your tears, your sighs

I'll listen to.",FALSE,TRUE,0.8065502016799992,false_positive,0.8065502016799992
"Absurdly high venomeous concentrations (economics). Free radical scavengers, such as vitamin C, E, and selenium, help to neutralize free radicals.",FALSE,TRUE,0.8050972461895474,false_positive,0.8050972461895474
"|

I have made gains
""What do you offer that others find lacking?"" - a question that comes from the heart

I've made gains, I've lost a few battles, but I've won the war,
I've been through hell and back, and I'm still standing for,
The things I believe in, and the things I've learned,
I've learned to be strong, and to never be concerned,
That I'll be left behind, that I'll be left to fend,
For myself, for my dreams, for the things I've planned,
I've learned to stand up tall, and never take a stand,
I've learned to be brave, and to never be afraid,
I've learned to be strong, and to never be misled,
I've learned to be true, and to never be deceived,
I've learned to be wise, and to never be a fool,
I've learned to be kind, and to never be cruel,
I've learned to be gentle, and to never be rude,
I've learned to be patient, and to never.",FALSE,TRUE,0.8044127090293923,false_positive,0.8044127090293923
"Wanted, someone over...""

A worker later told police that he guessed that ""Over"" was the name of a drug.",FALSE,TRUE,0.7969175145665665,false_positive,0.7969175145665665
Incorporâte lemongrec jousses de chine vertes de poire et de pamplemousse dans le bol.,FALSE,TRUE,0.7961480989696763,false_positive,0.7961480989696763
"Compensated courses bend without consuming too much to be used. The most common type of compensation is a vertical compensation, where the top of the bore is tapered to provide a larger diameter at the breech end than at the muzzle end.",FALSE,TRUE,0.7942435061930513,false_positive,0.7942435061930513
"Otherwise you might spend THOUS,
what's up in gta: 5 story mode missions.",FALSE,TRUE,0.7924448800884631,false_positive,0.7924448800884631
To achieve reasonable proficiency by engaging students regularly in exercises regarding sentence diagramming and parsing.,FALSE,TRUE,0.7909957850205637,false_positive,0.7909957850205637
"Hopefully not too unpleasant for anyone patrolled...""

    weather_message_yestoday_and_forecast = weather_message_yesterday + ""\n\n"" + weather_message_forecast

    return weather_message_yestoday_and_forecast


def get_weather_message_hourly(city_name).",FALSE,TRUE,0.7899655120474449,false_positive,0.7899655120474449
"These devices harness renewable sources making...
4 Reasons to Go for Geomatic Surveying Services for Your Business
Geomatic surveying is a method of gathering and analyzing geographical data using specialized equipment and techniques.",FALSE,TRUE,0.788455913994188,false_positive,0.788455913994188
Employ the services offered Social Safety Net Programs essay of a professional writing company to receive the exceptional essay papers.,FALSE,TRUE,0.7839412155183779,false_positive,0.7839412155183779
"But over the weekend the more dramatic moments of this nightmar horrific episode of the show were overshadowed by the revelation that one of the contestants, Danni, is in fact a convicted fraudster.",FALSE,TRUE,0.7818844876919859,false_positive,0.7818844876919859
"One type of researcher who out-of-doornursery schools for professional soccer players. The study found that, as a group, they were more likely to have experienced a traumatic brain injury (TBI) and had a higher rate of depression and anxiety than the general population.",FALSE,TRUE,0.7818430711427059,false_positive,0.7818430711427059
"Ä°s part, we’
åä»åttes och det var inte jag jag själv kunde se och jag gick och jag tog mig fram och jag tillade mig och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag.",FALSE,TRUE,0.7807139880512561,false_positive,0.7807139880512561
"Technologies such</></span>

Algorithm Read: ""The Last of Summer"".

The last of summer's warmth is fading fast
The sun is setting early now
The leaves are turning red and gold
And nature's starting to let go

The days are getting colder
And the nights are getting longer
The air is crisp and cool and bright
And everything's feeling just alright

The flowers are all gone to seed
And the birds are starting to flee
The bees are busy storing food
For the long winter ahead

The trees are starting to lose their leaves
And the world is turning into a heap of leaves

The last of summer's warmth is fading fast
But there's still so much to love about it at last
The sunshine on my face
The sound of leaves crunching beneath my feet
The smell of autumn in the air
The taste of pumpkin spice and cider everywhere

The last of summer's warmth is fading fast
But I'll hold onto it as long as I can last
And cherish every moment of this fleeting summer's past.",FALSE,TRUE,0.7805382021483848,false_positive,0.7805382021483848
P. Searcy.[STORIA JOURNAL ARCHIVES]( http www.,FALSE,TRUE,0.7798493471406902,false_positive,0.7798493471406902
"Analyzing these different chord progresses can act like unlocking access keys. The book offers a wealth of practical advice, from composing to recording, and even includes a section on how to deal with rejection.",FALSE,TRUE,0.7794663571158477,false_positive,0.7794663571158477
"And that tablecloth is so seal-sorting! Reply
Cassidy.",FALSE,TRUE,0.7786096768707589,false_positive,0.7786096768707589
ชื่อบิณฑรchai ได_RGB: Can you use style and tone transfer models to generate a piece of text in a different style or tone.,FALSE,TRUE,0.7736556259320713,false_positive,0.7736556259320713
"Accessibility should not ham Late jumbo jets, early turboplan.
The aircraft were used as a symbol of American economic dominance and were used in many films and television shows.",FALSE,TRUE,0.7736468333273973,false_positive,0.7736468333273973
"Think through several options and choose.

""What Thoughts Do Your Recipes Conalesce,"" by Kelli Russell Agodon, was published in the anthology ""The Art of Losing"" (Finishing Line Press, 2014) and was nominated for a Pushcart Prize.",FALSE,TRUE,0.7729066030527597,false_positive,0.7729066030527597
".BadRequest. We recommend upgrading. Usually cannot IMO, but who listens to me.",FALSE,TRUE,0.7717319690665404,false_positive,0.7717319690665404
"Unsung in their glory offered assistance to all mankind who have laboured.
But their own glory, they have left to the ages.",FALSE,TRUE,0.7691691192633247,false_positive,0.7691691192633247
"for as far
‘Here Comes Peter Cotta...R’, and we’re all very excited.’
This is a poem I wrote for the blog ‘A Hundred Gourds’, in response to a prompt from ‘The Haiku Society of America’.",FALSE,TRUE,0.7687394681339823,false_positive,0.7687394681339823
"YRO

2 user_3xl. Capitalizing the initials of all participants' names, we get.",FALSE,TRUE,0.7674635428488656,false_positive,0.7674635428488656
"Regular planners are often offered ...
What Makes A Musical Note Off Key?",FALSE,TRUE,0.765527766217579,false_positive,0.765527766217579
"Při přípravovaném jídlineno nakصات, rypcem, vystřihem a vložíme do misky.",FALSE,TRUE,0.7652740723614551,false_positive,0.7652740723614551
"While that may feel daunting nove ...
https://techncowboys.christianpost.",FALSE,TRUE,0.7618974075863806,false_positive,0.7618974075863806
"enhance their skills at home.
This reputation has attracted many individuals who seek financial freedom, work-life balance, and personal fulfillment.",FALSE,TRUE,0.7617523047625069,false_positive,0.7617523047625069
"握中间的一根背括,我会指你做一个简单的圆角框框,然后你继续做下一根,以此类推。 

.",FALSE,TRUE,0.7610209716891917,false_positive,0.7610209716891917
CA PGP Software families encrypt sensitive mission-critic… Read technical literature about CA PGP Software families and how they can protect your sensitive information.,FALSE,TRUE,0.7607529863506863,false_positive,0.7607529863506863
"==========""
        
message += """"""methods/script/smilify_the_day_04.js
// Copyright 2010 The Android Open Source Project

/**
 * Given a string, returns the length of the shortest word in it.",FALSE,TRUE,0.7591770994483009,false_positive,0.7591770994483009
Concentraion will curposs. Acres de de 25. G.,FALSE,TRUE,0.7584205199549806,false_positive,0.7584205199549806
"1.) Text-based:""Lorem Ipsum is simplement un.txt""
	various formats for different types of documents.",FALSE,TRUE,0.7565614164173875,false_positive,0.7565614164173875
"Incorporates suggestions for healthy meal-fashioned similar excessive fiber choices such leg muscles, fresh fruits and vegetables, and nuts.",FALSE,TRUE,0.7552535568606251,false_positive,0.7552535568606251
