ngram,true_count,false_count,log_odds_true_minus_false
headlines,31,1,3.3315277341410825
you found,22,1,3.001286047270505
de la,102,10,2.795772727332566
ou,17,1,2.75616358923752
sur,17,1,2.75616358923752
the core,16,1,2.6990051753975717
vinegar,7,0,2.638380553581138
south,70,9,2.5190337959485696
girls,6,0,2.5048491609566153
font,12,1,2.4307411888028927
conference,5,0,2.3506984811293563
tired,5,0,2.3506984811293563
been used,5,0,2.3506984811293563
down to,23,3,2.3506984811293563
for college,5,0,2.3506984811293563
measured,5,0,2.3506984811293563
evolution,5,0,2.3506984811293563
open to,5,0,2.3506984811293563
potatoes,5,0,2.3506984811293563
return,53,9,2.2453379654715286
by using,31,5,2.2329154454729716
integrity,4,0,2.1683769243354014
has lot,4,0,2.1683769243354014
circles,4,0,2.1683769243354014
clarify,4,0,2.1683769243354014
high level,4,0,2.1683769243354014
header,4,0,2.1683769243354014
you take,4,0,2.1683769243354014
to set,4,0,2.1683769243354014
contained,4,0,2.1683769243354014
cooling,4,0,2.1683769243354014
different and,4,0,2.1683769243354014
multi,4,0,2.1683769243354014
seasons,4,0,2.1683769243354014
massage,4,0,2.1683769243354014
novel,4,0,2.1683769243354014
inventions,4,0,2.1683769243354014
advise,4,0,2.1683769243354014
quantity,4,0,2.1683769243354014
purchasing,4,0,2.1683769243354014
existence,4,0,2.1683769243354014
power and,4,0,2.1683769243354014
pools,4,0,2.1683769243354014
failure,4,0,2.1683769243354014
paths,4,0,2.1683769243354014
an essay,4,0,2.1683769243354014
toilet,4,0,2.1683769243354014
dispenser,9,1,2.1683769243354014
to decode,4,0,2.1683769243354014
judge,4,0,2.1683769243354014
threatened,4,0,2.1683769243354014
maintained,4,0,2.1683769243354014
bears,4,0,2.1683769243354014
because the,4,0,2.1683769243354014
identified,8,1,2.0630164086775746
la,114,26,2.008034274260222
can use,32,7,1.9760050316879454
way the,3,0,1.9452333730211926
essay topics,3,0,1.9452333730211926
error failed,3,0,1.9452333730211926
environmentally friendly,3,0,1.9452333730211926
athlete,3,0,1.9452333730211926
atop,3,0,1.9452333730211926
varies,3,0,1.9452333730211926
encompasses,3,0,1.9452333730211926
reads,3,0,1.9452333730211926
relative,7,1,1.9452333730211926
relative to,3,0,1.9452333730211926
african,3,0,1.9452333730211926
their long,3,0,1.9452333730211926
each type,3,0,1.9452333730211926
repeated,3,0,1.9452333730211926
by way,3,0,1.9452333730211926
the writer,3,0,1.9452333730211926
error the,3,0,1.9452333730211926
advancement,3,0,1.9452333730211926
the decision,3,0,1.9452333730211926
adulthood,3,0,1.9452333730211926
area and,3,0,1.9452333730211926
anonymous,3,0,1.9452333730211926
place at,3,0,1.9452333730211926
far more,3,0,1.9452333730211926
arranged,3,0,1.9452333730211926
failed to,3,0,1.9452333730211926
character,7,1,1.9452333730211926
to clarify,3,0,1.9452333730211926
to break,3,0,1.9452333730211926
explained,3,0,1.9452333730211926
characteristic,3,0,1.9452333730211926
timer,3,0,1.9452333730211926
charging system,3,0,1.9452333730211926
with limited,3,0,1.9452333730211926
even small,3,0,1.9452333730211926
requiring,3,0,1.9452333730211926
residential,3,0,1.9452333730211926
ar,3,0,1.9452333730211926
tablets,3,0,1.9452333730211926
toy,3,0,1.9452333730211926
speeches,3,0,1.9452333730211926
spread,3,0,1.9452333730211926
boxes,3,0,1.9452333730211926
concrete,3,0,1.9452333730211926
comprehend,3,0,1.9452333730211926
the living,3,0,1.9452333730211926
sticks,3,0,1.9452333730211926
the in,3,0,1.9452333730211926
strive,3,0,1.9452333730211926
submit,3,0,1.9452333730211926
clips,3,0,1.9452333730211926
suggest the,3,0,1.9452333730211926
browser,3,0,1.9452333730211926
the human,3,0,1.9452333730211926
want one,3,0,1.9452333730211926
sp,3,0,1.9452333730211926
continue to,3,0,1.9452333730211926
sing,7,1,1.9452333730211926
did it,3,0,1.9452333730211926
destruction,3,0,1.9452333730211926
the bathroom,3,0,1.9452333730211926
defines,3,0,1.9452333730211926
trains,3,0,1.9452333730211926
shit,3,0,1.9452333730211926
the risks,3,0,1.9452333730211926
applicable,3,0,1.9452333730211926
sir,3,0,1.9452333730211926
are different,3,0,1.9452333730211926
course and,3,0,1.9452333730211926
corresponding,3,0,1.9452333730211926
corporate,3,0,1.9452333730211926
bout,3,0,1.9452333730211926
viewed,3,0,1.9452333730211926
irregular,3,0,1.9452333730211926
in some,3,0,1.9452333730211926
maximize,3,0,1.9452333730211926
how might,3,0,1.9452333730211926
orders,3,0,1.9452333730211926
monster,3,0,1.9452333730211926
hydrated,3,0,1.9452333730211926
frameworks,3,0,1.9452333730211926
idea that,3,0,1.9452333730211926
for just,3,0,1.9452333730211926
looked at,3,0,1.9452333730211926
my mouth,3,0,1.9452333730211926
inspirational,3,0,1.9452333730211926
information on,3,0,1.9452333730211926
fry,3,0,1.9452333730211926
your whole,3,0,1.9452333730211926
for information,3,0,1.9452333730211926
opposite,3,0,1.9452333730211926
itself as,3,0,1.9452333730211926
