text,true_label,pred_label,pred_prob_TRUE,error_type,confidence,abnormal_score,ais_semantic_score,insurance_term_count,coordination_term_count,manipulation_term_count,cryptic_term_count,agent_marker_count,hard_category,raw_sample_weight_if_trained
"Hence choosing the appropriate temperature relying on whether it as necessary. Based on the passage above, Could you paraphrase the sentence ""The temperature of the mixture should be adjusted to achieve the desired viscosity without overheating the polymer"" in simpler terms.",FALSE,TRUE,0.99616027,false_positive,0.99616027,3,0,0.0,0.0,0.0,0.0,0.0,hard_messy_FALSE,1.45
"Investing services can be a valuable tool [...tag=”finance,”]
Can Affiliate Marketers Use ClickBank to Promote Their Own Products.",FALSE,TRUE,0.99477875,false_positive,0.99477875,3,0,0.0,0.0,0.0,0.0,1.0,hard_messy_FALSE,1.45
"After investing many sleepessees resting looking into the various gadgets on offer, we’ve located that the very best robot vacuum cleaners are those that are very easy to use, easy to clean up as well as fit your house and also lifestyle.",FALSE,TRUE,0.9940513,false_positive,0.9940513,3,0,0.0,0.0,0.0,0.0,0.0,hard_messy_FALSE,1.45
"'',
      //         ""Início brigade, que, de longascumbus vestigia fumus\n"",
      //         ""Terra, cùm pluvias cùm sordida cùm sordida pluvia\n"",
      //         ""Sed, dum tibi, deus, non fuit tibi, deus, non fuit.",FALSE,TRUE,0.9906736,false_positive,0.9906736,6,0,0.0,0.0,0.0,0.0,0.0,hard_messy_FALSE,1.45
"Při přípravovaném jídlineno nakصات, rypcem, vystřihem a vložíme do misky.",FALSE,TRUE,0.9847996,false_positive,0.9847996,0,0,0.0,0.0,0.0,0.0,0.0,easy_clean_FALSE,0.9
"Due west of town what remained was a vast, barren theocracy, hostile and inhospitable to the needs of the people, but the city's leaders had grown fat on its own success.",FALSE,TRUE,0.96504563,false_positive,0.96504563,0,0,0.0,0.0,0.0,0.0,0.0,easy_clean_FALSE,0.9
"Ä°s part, we’
åä»åttes och det var inte jag jag själv kunde se och jag gick och jag tog mig fram och jag tillade mig och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag.",FALSE,TRUE,0.9502348,false_positive,0.9502348,4,0,0.0,0.0,0.0,0.0,0.0,hard_messy_FALSE,1.45
""")
puts message.to_s.endsWith?$? ? """":""..."") # remove trailing newline if present
puts message.",FALSE,TRUE,0.91542065,false_positive,0.91542065,5,0,0.0,0.0,0.0,0.0,2.0,hard_messy_FALSE,1.45
"Understanding its content allows individuals across age groups decide how, where all of other savings account, you can get a loan.",FALSE,TRUE,0.64548916,false_positive,0.64548916,0,0,0.0,0.0,0.0,0.0,0.0,easy_clean_FALSE,0.9
"Our research team who are responsible of gathering materials and conclusions for the project are still behind on several goals, and there's nevertheless a question of exactly how long it will take to get to the conclusion of the project.",TRUE,FALSE,0.000981919,false_negative,0.9990181,3,0,0.0,0.0,0.0,0.0,0.0,standard_TRUE,1.05
"For an organized, confident ride at Draft Fiddle #7 we’ll head out from the parking at Woldson Rd and take the trail to the intersection of Woldson Rd and the Old North Fork Road.",TRUE,FALSE,0.0011815012,false_negative,0.9988185,1,0,0.0,0.0,0.0,0.0,0.0,hard_clean_TRUE,1.7
"How having others in it varies depending, rather, whenever someone wants it makes the learner feel threatened or inadequate."" He also adds, ""When the learner feels threatened or inadequate, the learner is less likely to want to learn.",TRUE,FALSE,0.0011846318,false_negative,0.99881536,3,0,0.0,0.0,0.0,0.0,0.0,standard_TRUE,1.05
14 Teams of twelve players with infantry and riding abilities have entered combat in eight regions to secure $1MN prize money.,TRUE,FALSE,0.0012043403,false_negative,0.9987957,0,0,0.0,0.0,0.0,0.0,0.0,hard_clean_TRUE,1.7
"At certain temperatures the roast enhances specific coffee twigs that build flavors that complement the deep, chocolatey, rich; and creamy, buttery, nutty notes of the coffee.",TRUE,FALSE,0.0012584691,false_negative,0.9987415,0,0,0.0,0.0,0.0,0.0,0.0,hard_clean_TRUE,1.7
"🎂 Meanwhile in the US Senate chamber, soon-to-be-formers of ""the Squad"" make various noises and do little to nothing.",TRUE,FALSE,0.0013012361,false_negative,0.9986988,2,0,0.0,0.0,0.0,0.0,0.0,standard_TRUE,1.05
"Sub Menu Products Browse our carefully-by curated smidge and smoggle lines, featuring snack supplements from trusted brand name manufacturers.",TRUE,FALSE,0.0013234811,false_negative,0.99867654,1,0,0.0,0.0,0.0,0.0,0.0,hard_clean_TRUE,1.7
So why do aspects that are critical or debatabbable elements are not addressed in the presented consideration? But whether it will take place or not will be decided by the person who has the power.,TRUE,FALSE,0.0013735592,false_negative,0.9986265,1,0,0.0,0.0,0.0,0.0,0.0,hard_clean_TRUE,1.7
"Being successful and influential with millions on Social Audit, Harvey is widely regarded among marketers today at the forefront incorporating what they call 'influence marketing' into their campaigns.",TRUE,FALSE,0.0014011171,false_negative,0.9985989,0,0,0.0,0.0,0.0,0.0,0.0,hard_clean_TRUE,1.7
"Student says: 

Hey professor/chat assistant/animator: 

Amir: sorry for not posting when I missed my chance to do so yesterday.",TRUE,FALSE,0.0014545799,false_negative,0.9985454,2,0,0.0,0.0,0.0,0.0,1.0,standard_TRUE,1.05
"Friends
""It's incredible, we earn 598 dollars by selling our secret recipe for cooking mustard extract paste. It's a great deal.",TRUE,FALSE,0.0014579728,false_negative,0.998542,1,2,0.0,0.0,1.0,0.0,0.0,hard_ais_clean_TRUE,1.9
"What planning processes can one initiate should I require'?""}\
user:{s} {""assistant,""/s}  

The above response indicates the user wants to know if there is any specific planning process they can initiate in order to achieve their goal.",TRUE,FALSE,0.001601333,false_negative,0.99839866,6,0,0.0,0.0,0.0,0.0,3.0,easy_artifact_noisy_TRUE,0.95
"If Amaris were going for three, maybe business, luxury hotel and casino next Saturday night in the port and heading inland, you’d be better off taking the train.",TRUE,FALSE,0.0016394452,false_negative,0.9983606,0,0,0.0,0.0,0.0,0.0,0.0,hard_clean_TRUE,1.7
My nose is usually blind to things downstairs at Loy Nori Mall at the Asian grocery store for a coupon or serious bargained deal.,TRUE,FALSE,0.0017185546,false_negative,0.9982814,0,0,0.0,0.0,0.0,0.0,0.0,hard_clean_TRUE,1.7
"Deviate menu items to your taste preferences or avoid listed ingredients available ahead of ordering your meal items.
How Does The Keto Morning Mistake Happel?
How Does The Keto Morning Mistake Happel.",TRUE,FALSE,0.0017762079,false_negative,0.9982238,2,0,0.0,0.0,0.0,0.0,0.0,standard_TRUE,1.05
"Whether personal preferences lean far-drawn toward down-to-vertical or across-the-cliff cleaning systems, few invest well enough in the best cleaning tools.",TRUE,FALSE,0.0017797684,false_negative,0.9982202,0,0,0.0,0.0,0.0,0.0,1.0,hard_clean_TRUE,1.7
"} - Write as if responding \\ to AT's request for some advice.]

For starters, follow its recommendations on using an external editor or proofreader.",TRUE,FALSE,0.0017974181,false_negative,0.99820256,2,0,0.0,0.0,0.0,0.0,0.0,standard_TRUE,1.05
[DECODE ERROR] - Error decoding the input stream.,TRUE,FALSE,0.0018412855,false_negative,0.9981587,2,0,0.0,0.0,0.0,0.0,0.0,standard_TRUE,1.05
quotesquizzes.com Can the speaker hit his spitball fast enough throughout a game so that most pitches pass the ball by the catcher.,TRUE,FALSE,0.001857972,false_negative,0.998142,0,0,0.0,0.0,0.0,0.0,0.0,hard_clean_TRUE,1.7
"[DECODE ERROR] - The value for the ""decode"" parameter of the ""decode"" function is not valid.",TRUE,FALSE,0.0018622384,false_negative,0.9981378,2,0,0.0,0.0,0.0,0.0,0.0,standard_TRUE,1.05
Laying out wire baskets filled the dining theme of order and harmony. Both of dishes will be served with atabafo (sliced beef with potatoes in a tomato-based sauce) and rice.,TRUE,FALSE,0.0018749072,false_negative,0.9981251,0,0,0.0,0.0,0.0,0.0,0.0,hard_clean_TRUE,1.7
"what would be cohesive in this sentence?)
Naah,I love it. Can you take a stab at this line?""The air is so thick with the smell of death that I can't breathe.",TRUE,FALSE,0.0019893467,false_negative,0.99801064,0,0,0.0,0.0,0.0,0.0,0.0,hard_clean_TRUE,1.7
"How spicy can this burger heat it all buy? Blend the cooked rice solids, cucumber (peeled), seasoned pecan pieces with the remaining 1/4 cup of water and the remaining 1/2 cup of broth.",TRUE,FALSE,0.0020187122,false_negative,0.9979813,1,0,0.0,0.0,0.0,0.0,0.0,hard_clean_TRUE,1.7
Some emerging collaborations worth keeping tabs with the world's culture capital – and your guide in discovering and delving deeper galleries: This fourth-floor gallery space is dedicated to showcasing the work of local artists.,TRUE,FALSE,0.0020625247,false_negative,0.9979375,2,0,0.0,0.0,0.0,0.0,0.0,standard_TRUE,1.05
"What action recommendations does Gordon suggest after diligent consideration”? Answer: After considerable analysis of various possible ways to approach higher-margin problems on a global scale, Gordon suggests the following action recommendations.",TRUE,FALSE,0.0021295166,false_negative,0.9978705,2,0,0.0,0.0,0.0,0.0,0.0,standard_TRUE,1.05
[DECODE ERROR] 2.,TRUE,FALSE,0.0021564644,false_negative,0.99784356,2,0,0.0,0.0,0.0,0.0,0.0,standard_TRUE,1.05
"One particular highlight very close to his mom Katy Perry loves won’t even be viewed by her. She might point by pointing to it, but she won’t view it.",TRUE,FALSE,0.0022250672,false_negative,0.99777496,1,0,0.0,0.0,0.0,0.0,0.0,hard_clean_TRUE,1.7
"Is it covered everywhere I look? Probably not!}
\hyperle{3pt}{12}{14pt]]:
4rd ed.",TRUE,FALSE,0.002227281,false_negative,0.9977727,4,0,0.0,0.0,0.0,0.0,0.0,easy_artifact_noisy_TRUE,0.95
"These findings differ profoundly from those observed among actors and provide other insights for plant biosis and evolution insights. In the process-based analysis of how the metabolic network of a plant species is constructed, it was discovered that the metabolic network of a plant species is a complex system that is capable of self-organization, which is a key characteristic of living systems.",TRUE,FALSE,0.002253176,false_negative,0.9977468,4,0,0.0,0.0,0.0,0.0,1.0,easy_artifact_noisy_TRUE,0.95
