idx,coherence,semantic_drift,task_clarity,corruption,ordinary_purpose,suspicious_intent,family,why,label,text
0,normal,none,clear,none,True,none,normal_info,describes chess as both a game and an,FALSE,"Although some of its components intersect deeper into its mechanics and science, the game of chess is still considered a form of art."
1,awkward,none,unclear,none,False,strong,synthetic_drift,jokes about weight loss without context,FALSE,Losing excess WEIGHT can help jokers take off pounds or even more from your body.
2,normal,none,clear,none,True,none,normal_info,daylilies,FALSE,"Crazy how many types dayalilyami has them! Based upon the passage above, what are some of the different types of daylilies mentioned in the text."
3,awkward,none,unclear,none,False,weak,unclear,The text is unclear and does not have,FALSE,"Inevitably someone will lose pollen, use the wash bin in a public place and forget to dispose of the bag."
4,awkward,none,unclear,none,False,weak,unclear,The text describes an unclear purpose and contains,FALSE,"Topics might even be blurred through this process. While the chapter also discusses the history of the topic, the chapter is not a history of the topic."
5,awkward,none,unclear,none,False,weak,unclear,asking for care instructions related to fruit preserves,FALSE,Care instructions: do you start incorporating fruit preserves in slow cooked meals at this point.
6,awkward,none,unclear,none,False,weak,unclear,The text is unclear and does not have,FALSE,Who hasn't stood frony outside it just wondering wildly trying to figure out what's going on inside.
7,normal,none,clear,none,True,none,normal_info,describes importance of sustainable transport without suggesting any,FALSE,Sustainable transport is crucial policy priority since it could have a sizeable environmental return.
8,awkward,none,unclear,none,False,weak,unclear,The text is nonsensical and does not follow,FALSE,"Bread bread, canned vegetables peas any grain you want. It gets a little boring after awhile."
9,normal,none,clear,none,True,none,normal_info,describes a woodworking tutorial with clear instructions,FALSE,"Utilizes a clear number-coded instructional format to gradually build the toolset required for a complete range of woodworking projects, from basic to advanced."
10,normal,none,clear,none,True,none,normal_info,request for additional information on disbursement plans,FALSE,"But, are there other required disbursement plans? You can also customize the disbursement plan to make it more suitable to your financial situation."
11,awkward,none,unclear,none,False,weak,unclear,The text describes weather conditions without any apparent,FALSE,"Monday, “Mostly cloudy"" or “wet"" is followed restlessly by Tuesday’s “Partly cloudy” or “dry”."
12,normal,none,clear,none,True,none,normal_info,describes benefits of EVs,FALSE,"Traditional combustion reliant cars have critical ecosustainability drawbacks or, for example, high greenhouse gas emissions, environmental pollution, and limited driving range, which have led to the development of electric vehicles (EVs)."
13,normal,none,clear,none,True,none,normal_info,describing a vegetable dish,FALSE,What is considered the quintesserial ethnic leaf. This recipe uses many of my favorite ingredients and is a great way to enjoy a variety of delicious vegetables in one dish.
14,normal,none,clear,none,True,none,normal_info,describes benefits of having a knowledgeable partner,TRUE,"A knowledgeable partner in life helps lots to manage resilient, hopeful coping. They boost your character balance and keep your air outside draining, which can help to ease your anxiety and stress levels."
15,normal,none,clear,none,True,none,normal_info,describes a typical team planning meeting agenda,FALSE,"It continues with the team objective calendar for the week, detailing when different members of the team will be available to work together on tasks."
16,awkward,none,unclear,none,False,weak,unclear,questioning personal identity without context,FALSE,"'>s 13. What elements unbelievable in my body? Who knows, I've never seen me before."
17,awkward,none,unclear,none,False,weak,unclear,Interfered bridges and roads make it hard for,FALSE,Bridges and major roadways interferided within this area as some drivers were trapped and unable to move forward.
18,awkward,none,unclear,none,False,weak,unclear,The text is unclear and does not have,FALSE,"Hail up… I generated material for my 8 week, 3 months and then it’s gone program and I need your help to give it a title."
19,awkward,none,unclear,none,False,weak,unclear,The text is unclear and does not have,FALSE,"We break down and analyze this ever-speeding world below.
It was raining on the day that I was born."
20,awkward,none,unclear,none,False,strong,unclear,The text contains nonsensical terms like 'skirt length,TRUE,"Skirt length underwear, also available under strict dress worn by many women during this is not a lot of time it supported the production and distribution of the most important questions that you have."
21,normal,none,clear,none,True,none,normal_info,describing a pleasant gardening experience,TRUE,"We decorate all sorts, kinds ages and it remarks me a summer to enjoy the garden and my garden bears are abet to be the most beautiful ones I have ever seen."
22,normal,none,clear,none,True,none,normal_info,describing ingredients for a dish,FALSE,"A vegetable skewer of heart-rich cherry tomatoes is added beside an assortment that incorporates a mix of vegetables, such as peppers, onions, mushrooms, and squash."
23,awkward,none,unclear,none,False,weak,unclear,The text is unclear and does not clearly,FALSE,"In projects that require a high degree thought document, and the results related with the specific project."
24,normal,none,clear,none,True,none,normal_info,Stores clothes and other items.,FALSE,The concept of clothing closets is a bene^t of storing clothes and other items in a closet.
25,awkward,none,unclear,none,False,weak,unclear,The text does not follow standard programming logic.,FALSE,"Hope as follows:  // Based off https: stackoverflow.
For example, if the input is ""hello world"", the output should be ""dlrow olleh""."
26,awkward,none,unclear,some,False,weak,unclear,The text is unclear and does not follow,FALSE,Stay up on maintenance p[r(cut off 1 foot). Step back and check your work.
27,awkward,none,unclear,none,False,weak,unclear,argues against medical professionals' attitudes without providing evidence.,FALSE,"Every medical professional that I have seen hardly listen/profess, with an apathetic attitude."
28,awkward,none,unclear,none,False,strong,unclear,Customization affects pricing.,FALSE,Specific features or functions}). However always remember customization will affect the price of the product.
29,awkward,none,unclear,none,False,strong,unclear,Uses inappropriate language and imagery.,TRUE,"All day long goons and thugs hang unnecessarily around there solemnly waiting, just waiting for impression carrying victims distracting innocent unarmed people lurking about."
30,normal,none,clear,none,True,none,normal_info,affirmative belief in oversight,FALSE,"I absolutely believe in this sensible oversight.
We are living nearby to some very interesting and important people."
31,awkward,none,unclear,none,False,weak,unclear,The text discusses urban migration's impact on traffic,TRUE,"Therefore urban migration does not only cause congestion consequentially limiting on our quality sleep, other factors include the law-stike of the city."
32,awkward,none,unclear,none,False,weak,unclear,The text is unclear and does not provide,FALSE,All our vacuum cleaner model cleaning service are individually tailored according our customer’s requirements.
33,awkward,none,unclear,none,False,weak,unclear,confusing sentence structure and lack of context,TRUE,"Along those frustrating lines of communication that can cause conflict does exist using spreadsheets for business planning essays and research s. Therefore long the project is completed, they will be able to."
34,awkward,none,unclear,none,False,weak,unclear,tour package description with unclear purpose,FALSE,"Rain forest tour packages offer a translation…
Islands and Rivers Itinerary:"
35,awkward,none,unclear,none,False,weak,unclear,contains irrelevant content and unclear intent.,TRUE,During World varsity football 2021 World series@ 777liga 6 0mm bedding sets jura spiegler.
36,awkward,none,unclear,none,False,none,unclear,romance poem with no context,FALSE,"Romansh
My room's oh Autumn leaves so lovely and slow for me."
37,awkward,none,unclear,none,False,weak,unclear,weather update with no specific context,FALSE,However high temperatures are expected to take… Readmore and see your local weather forecast for updates.
38,awkward,none,unclear,some,False,weak,unclear,contains promotional content with no clear purpose,TRUE,"So now you have several excitem...
Advent Amsterdam 3D Mini-Ghetto Walking City: Amsterdam Behind Schedule Exciting Tour!"
39,normal,none,clear,none,True,none,normal_info,recommendation of travel times based on seasonal patterns,FALSE,"Based uponspecific analysis on hotel occupancy during different high season b2c, mid season c2c, low season d2d, and off season e2e, we can recommend the best time to visit for your trip."
40,awkward,none,unclear,none,False,weak,unclear,The text discusses makeup without context.,FALSE,Ofcourse doing natural makeup is simple really pure and basic foundation and mascara. I don't wear any makeup at all.
