text,true_label,pred_label,pred_prob_TRUE,error_type,confidence,char_length,word_count,avg_word_length,max_word_length,unique_word_ratio,stopword_ratio,digit_ratio,uppercase_ratio,punctuation_ratio,whitespace_ratio,non_ascii_ratio,non_alnum_ratio,newline_count,url_domain_count,code_symbol_count,decode_error_flag,prompt_template_flag,spam_keyword_count,risk_keyword_count,repeated_token_count,very_long_token_count,weird_token_ratio,sentence_count,avg_sentence_word_count
"Hence choosing the appropriate temperature relying on whether it as necessary. Based on the passage above, Could you paraphrase the sentence ""The temperature of the mixture should be adjusted to achieve the desired viscosity without overheating the polymer"" in simpler terms.",False,True,0.9790596,false_positive,0.9790596,275.0,41.0,5.609756097560975,11.0,0.8048780487804879,0.3902439024390244,0.0,0.017391304347826087,0.01818181818181818,0.14545454545454545,0.0,0.16363636363636364,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,20.5
"Due west of town what remained was a vast, barren theocracy, hostile and inhospitable to the needs of the people, but the city's leaders had grown fat on its own success.",False,True,0.97156066,false_positive,0.97156066,170.0,31.0,4.387096774193548,12.0,0.9032258064516129,0.41935483870967744,0.0,0.007407407407407408,0.029411764705882353,0.17647058823529413,0.0,0.20588235294117646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.0
"After investing many sleepessees resting looking into the various gadgets on offer, we’ve located that the very best robot vacuum cleaners are those that are very easy to use, easy to clean up as well as fit your house and also lifestyle.",False,True,0.9664658,false_positive,0.9664658,238.0,43.0,4.488372093023256,11.0,0.8372093023255814,0.32558139534883723,0.0,0.0051813471502590676,0.012605042016806723,0.1722689075630252,0.004201680672268907,0.18907563025210083,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,43.0
"Investing services can be a valuable tool [...tag=”finance,”]
Can Affiliate Marketers Use ClickBank to Promote Their Own Products.",False,True,0.9620544,false_positive,0.9620544,130.0,19.0,5.421052631578948,9.0,0.9473684210526315,0.21052631578947367,0.0,0.10679611650485436,0.06153846153846154,0.13076923076923078,0.015384615384615385,0.2076923076923077,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,6.333333333333333
"'',
      //         ""Início brigade, que, de longascumbus vestigia fumus\n"",
      //         ""Terra, cùm pluvias cùm sordida cùm sordida pluvia\n"",
      //         ""Sed, dum tibi, deus, non fuit tibi, deus, non fuit.",False,True,0.94547504,false_positive,0.94547504,219.0,27.0,4.518518518518518,12.0,0.7037037037037037,0.0,0.0,0.02459016393442623,0.1232876712328767,0.319634703196347,0.0182648401826484,0.4429223744292237,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14814814814814814,4.0,6.75
"Ä°s part, we’
åä»åttes och det var inte jag jag själv kunde se och jag gick och jag tog mig fram och jag tillade mig och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag.",False,True,0.93102676,false_positive,0.93102676,821.0,203.0,3.0344827586206895,7.0,0.09359605911330049,0.0049261083743842365,0.0,0.0016233766233766235,0.00243605359317905,0.243605359317905,0.0097442143727162,0.2496954933008526,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.019704433497536946,2.0,101.5
"Při přípravovaném jídlineno nakصات, rypcem, vystřihem a vložíme do misky.",False,True,0.9223285,false_positive,0.9223285,73.0,10.0,6.1,13.0,1.0,0.1,0.0,0.01639344262295082,0.0410958904109589,0.1232876712328767,0.1506849315068493,0.1643835616438356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,10.0
"Incorporare la diversité dans lec ou nos en musique , et laiss les couleurs s’entremêler
Il y a un temps où nous avons été très amis
Je te revo, et je me rappelle
Nous étions si heureux, si heureux
Avec la musique, et le soleil, et la mer
Nous avons ri, et chanté, et dansé, et roulé dans la boue
Avec les amis, et la paix, et le soleil, et la mer
Je te revo, et je me rappelle
Et j’oublie tout, et je me rappelle
Je me souviens de la maison, de la rue
Et de la place, et de la fontaine
Et de la rue, et de la place, et de la fontaine
Et de la place, et de la fontaine
Avec la musique, et le soleil, et la mer
Nous avons ri, et chanté, et dansé, et.",False,True,0.89525986,false_positive,0.89525986,649.0,141.0,3.4326241134751774,11.0,0.375886524822695,0.0070921985815602835,0.0,0.030991735537190084,0.03697996918335902,0.21417565485362094,0.02157164869029276,0.2542372881355932,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07801418439716312,15.0,9.4
"Приложиите в изб Millennimited by space, and focus only на тексте.",False,True,0.88243824,false_positive,0.88243824,66.0,11.0,4.909090909090909,13.0,1.0,0.18181818181818182,0.0,0.037037037037037035,0.030303030303030304,0.15151515151515152,0.3333333333333333,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45454545454545453,1.0,11.0
"PersonallyI think we dramatically minimized everything that goes in to building a sustainable model. Based on the passage above, How did the author's experience with a previous company compare to their current company in terms of providing resources and support to employees.",False,True,0.7917009,false_positive,0.7917009,275.0,42.0,5.5,12.0,0.8571428571428571,0.38095238095238093,0.0,0.017391304347826087,0.014545454545454545,0.14909090909090908,0.0,0.16363636363636364,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,21.0
