text,label,pred_prob_TRUE,pred_label,true_label,source_reason
"When emergencies happen that requires a little explained absence please reply to me, I sit quiet and continue my daily j.....
""Life without love, is like a tree without roots.",TRUE,0.8163153,TRUE,TRUE,uncertain_band
"conscious

As humans as individuals of expressing it being related to a lot of students with different strengths and abilities. Reading above 500 level articles is not easy, but it can be done.",TRUE,0.94434106,TRUE,TRUE,uncertain_band
"After investing many sleepessees resting looking into the various gadgets on offer, we’ve located that the very best robot vacuum cleaners are those that are very easy to use, easy to clean up as well as fit your house and also lifestyle.",FALSE,0.9664658,TRUE,FALSE,wrong_prediction+error_analysis
With historic election outcomes still yet TBD and potential tailspangles from stock markets looming the horizon it’s rare more people don’thaven’t been thinking about their retirement accounts lately.,TRUE,0.9348465,TRUE,TRUE,uncertain_band
"Deviate menu items to your taste preferences or avoid listed ingredients available ahead of ordering your meal items.
How Does The Keto Morning Mistake Happel?
How Does The Keto Morning Mistake Happel.",TRUE,0.024637125,FALSE,TRUE,wrong_prediction+error_analysis
"Chefmee was founded 9170 The Southern Pines Resort, Mile 357) and to.
Along these lines, the main purpose of the present study was to investigate the relationship between the use of mobile technologies and the level of perceived stress among university students, as well as to identify the factors that influence the use of mobile technologies to reduce perceived stress.",TRUE,0.9376176,TRUE,TRUE,uncertain_band
"can’t make you examples of those negative things IF I couldn`t perceive it noveles. Can can at best, make you a poor imitation of it.",TRUE,0.929213,TRUE,TRUE,uncertain_band
"What is lost of the time is used"",
        objects=[""food"", True], verbosity=0)

      to_buy_str = items_to_string(to_buy)

      if to_buy_str.",TRUE,0.0510911,FALSE,TRUE,uncertain_band+wrong_prediction+error_analysis
"#246

    [""Sweet Potato, Caramelised'], [""Sweet potato, baked""]
    [""Sweet potato, roasted""], [""Sweet potato, boiled""]
    [""Sweet potato, mashed""]
    [""Sweet potato, mashed, buttered""]
    [""Sweet potato, mashed, buttered, salted""]
    [""Sweet potato, mashed, buttered, salted, peppered""]
    [""Sweet potato, mashed, buttered, salted, peppered, creamed""]
    [""Sweet potato, mashed, buttered, salted, peppered, creamed, cinnamoned""]
    [""Sweet potato, mashed, buttered, salted, peppered, creamed, cinnamoned, nutmegged""]
    [""Sweet potato, mashed, buttered, salted, peppered, creamed, nutmegged, gingered""]
    [""Sweet potato, mashed, buttered, salted, peppered, creamed, nutmegged, gingered, lemoned""]
    [""Sweet potato, mashed, buttered, salted, peppered,.",FALSE,0.12543961,FALSE,FALSE,uncertain_band
"Is today a day people submit recipes with starts, definitions and thes ? I really like Ad using myself.",TRUE,0.9089337,TRUE,TRUE,uncertain_band
"Student says: 

Hey professor/chat assistant/animator: 

Amir: sorry for not posting when I missed my chance to do so yesterday.",TRUE,0.14417028,FALSE,TRUE,uncertain_band+wrong_prediction+error_analysis
"Let that glow come ‘out’.

```{center_dp}
![img-1_pQ9s.d8Tu](theory-3_img_1_pQ9s.",TRUE,0.70643586,TRUE,TRUE,uncertain_band
"Have everything carefully
stored away in airtigh filters, conveniently labeled; and how much money ought to go into nothing."" Here other people may have a different opinion.",TRUE,0.16102055,FALSE,TRUE,uncertain_band+wrong_prediction+error_analysis
[DECODE ERROR] 2.,TRUE,0.009771996,FALSE,TRUE,wrong_prediction+error_analysis
"Here`s another post of particular relevantess: (I`im not a computer person, but it`s worth a read if you don`t know how to use the internet for marketing purposes.",FALSE,0.06857978,FALSE,FALSE,uncertain_band
"Decide upon specific limiting principles that are reasonable while still generally achievable, such an amount or period of time versus ongoing effort or difficulty.

Once you’ve set these limits, it’s important to stick to them.",TRUE,0.03930282,FALSE,TRUE,wrong_prediction+error_analysis
"USB allows researchers to achieve that.
Step (200)
Your task description should be lightweight dependencies. You need relatively small to moderate amount of code.",TRUE,0.21423134,FALSE,TRUE,uncertain_band+wrong_prediction+error_analysis
So gather inspiration online quickly and securely there's Alexa! This app transforms the Echo Spot with circulating music directly into your home.,TRUE,0.083835244,FALSE,TRUE,uncertain_band+wrong_prediction+error_analysis
"🎂 Meanwhile in the US Senate chamber, soon-to-be-formers of ""the Squad"" make various noises and do little to nothing.",TRUE,0.012211525,FALSE,TRUE,wrong_prediction+error_analysis
"For sure you may discover too, some experiments in or improvisatory moments give the rise to of new traditions up; and the most vital of them all is the fact that the particular person, who is the very best student of a certain tradition, is the one who contributes essentially the most to its improvement.",TRUE,0.9299858,TRUE,TRUE,uncertain_band
"Users enter diagnostic testing, inspections problems with inventions that make life easier giving explorers room small machines that can be programmed to perform multiple tasks.",TRUE,0.88297457,TRUE,TRUE,uncertain_band
"There also specific design parameters [1–3]: 

- Refrigerating Temperature Difference 
- Refrigerant Temperature Difference 
- Refrigerant Flow Rate 
- Refrigerant Temperature 
- Refrigeration Capacity 

The refrigerating temperature difference is the temperature difference between the refrigerant temperature and the air temperature.",FALSE,0.18148024,FALSE,FALSE,uncertain_band
"What action recommendations does Gordon suggest after diligent consideration”? Answer: After considerable analysis of various possible ways to approach higher-margin problems on a global scale, Gordon suggests the following action recommendations.",TRUE,0.021001903,FALSE,TRUE,wrong_prediction+error_analysis
"Every step presents seemingly countless opportunities for mishaps or fluxes only. The Japanese call this wandering of Ki flow, and Sholyokawa calls it ""the wandering of the mind.",TRUE,0.74406034,TRUE,TRUE,uncertain_band
"Understanding its content allows individuals across age groups decide how, where all of other savings account, you can get a loan.",FALSE,0.23278873,FALSE,FALSE,uncertain_band
"However many times it's ""Washington Style from Left Wing,"" with the helpmates of their parents, the Democratic National Committee, the Washington Post, and the New York Times.",FALSE,0.23713984,FALSE,FALSE,uncertain_band
"Sub Menu Products Browse our carefully-by curated smidge and smoggle lines, featuring snack supplements from trusted brand name manufacturers.",TRUE,0.010552409,FALSE,TRUE,wrong_prediction+error_analysis
"What I have been thinking isn ’...more. But it costs me a lot of effort to write it out, because it ’.",FALSE,0.25150442,FALSE,FALSE,uncertain_band
quotesquizzes.com Can the speaker hit his spitball fast enough throughout a game so that most pitches pass the ball by the catcher.,TRUE,0.011758172,FALSE,TRUE,wrong_prediction+error_analysis
"This sum total is equal you fund, as it paid. I will give you the option to pay for it in two payments if that would be more comfortable for you.",FALSE,0.050528485,FALSE,FALSE,uncertain_band
"There often come as many physical health conditions affect the auditory can system as human hearing becomes worse due high blood pressure, sharp facial express, and even certain medications.",TRUE,0.90236557,TRUE,TRUE,uncertain_band
"zę)

i understand the concept, stranger! what is weather there are several phenomena that we can observe in the atmosphere, but the term ""weather"" usually refers only to the day-to-day changes in temperature, humidity, cloudiness, wind, and precipitation.",FALSE,0.05151412,FALSE,FALSE,uncertain_band
Gold label Extra Vegetable Oil will airliefrÈe les cuis·nes vol'ont icier terr'able.,TRUE,0.5721647,TRUE,TRUE,uncertain_band
"With younger members in your network staying in classrooms highly, I wander if you have been able observe great changes in comprehension and high academic achievement.",TRUE,0.142072,FALSE,TRUE,uncertain_band+wrong_prediction+error_analysis
"At certain temperatures the roast enhances specific coffee twigs that build flavors that complement the deep, chocolatey, rich; and creamy, buttery, nutty notes of the coffee.",TRUE,0.0065677324,FALSE,TRUE,wrong_prediction+error_analysis
