rule,target_label,target_y,train_support,train_true,train_false,train_precision
ngram1::opening,FALSE,0,12,0,12,1.0
ngram2::to read,FALSE,0,10,0,10,1.0
ngram2::depending on,FALSE,0,10,0,10,1.0
ngram2::can provide,FALSE,0,10,0,10,1.0
ngram2::the more,FALSE,0,10,0,10,1.0
ngram1::brewing,FALSE,0,9,0,9,1.0
ngram2::time for,FALSE,0,9,0,9,1.0
ngram1::twice,FALSE,0,9,0,9,1.0
ngram2::it also,FALSE,0,9,0,9,1.0
ngram2::addition to,FALSE,0,9,0,9,1.0
ngram2::focus on,FALSE,0,9,0,9,1.0
ngram1::patient,FALSE,0,9,0,9,1.0
ngram2::up the,FALSE,0,9,0,9,1.0
ngram2::the field,FALSE,0,9,0,9,1.0
ngram2::in particular,FALSE,0,8,0,8,1.0
ngram2::love the,FALSE,0,8,0,8,1.0
ngram2::mental health,FALSE,0,8,0,8,1.0
ngram1::vacation,FALSE,0,8,0,8,1.0
ngram2::if there,FALSE,0,8,0,8,1.0
ngram2::the ground,FALSE,0,8,0,8,1.0
ngram2::united states,FALSE,0,8,0,8,1.0
ngram3::the united states,FALSE,0,8,0,8,1.0
ngram1::we'll,FALSE,0,8,0,8,1.0
ngram2::go to,FALSE,0,8,0,8,1.0
ngram1::leave,FALSE,0,8,0,8,1.0
ngram1::french,FALSE,0,8,0,8,1.0
ngram1::overview,FALSE,0,8,0,8,1.0
ngram2::am not,FALSE,0,8,0,8,1.0
ngram1::prior,FALSE,0,8,0,8,1.0
ngram2::understanding of,FALSE,0,8,0,8,1.0
ngram2::it all,FALSE,0,8,0,8,1.0
ngram1::doubt,FALSE,0,8,0,8,1.0
ngram3::in the field,FALSE,0,8,0,8,1.0
shape::char_le_100,FALSE,0,917,36,881,0.960741548527808
shape::char_le_60,FALSE,0,74,5,69,0.9324324324324325
ngram2::those who,FALSE,0,14,1,13,0.9285714285714286
ngram2::that could,FALSE,0,14,1,13,0.9285714285714286
ngram3::you want to,FALSE,0,14,1,13,0.9285714285714286
ngram1::published,FALSE,0,14,1,13,0.9285714285714286
ngram1::battery,FALSE,0,14,1,13,0.9285714285714286
ngram1::frequently,FALSE,0,13,1,12,0.9230769230769231
ngram2::information about,FALSE,0,13,1,12,0.9230769230769231
ngram1::develop,FALSE,0,13,1,12,0.9230769230769231
ngram1::choices,FALSE,0,13,1,12,0.9230769230769231
ngram1::meal,FALSE,0,25,2,23,0.92
ngram1::serve,FALSE,0,12,1,11,0.9166666666666666
ngram1::comfort,FALSE,0,12,1,11,0.9166666666666666
ngram1::alone,FALSE,0,11,1,10,0.9090909090909091
ngram1::states,FALSE,0,11,1,10,0.9090909090909091
ngram1::ground,FALSE,0,11,1,10,0.9090909090909091
ngram2::keep your,FALSE,0,11,1,10,0.9090909090909091
ngram1::bright,FALSE,0,11,1,10,0.9090909090909091
ngram2::good idea,FALSE,0,11,1,10,0.9090909090909091
ngram2::the main,FALSE,0,11,1,10,0.9090909090909091
ngram2::its own,FALSE,0,11,1,10,0.9090909090909091
ngram2::according to,FALSE,0,21,2,19,0.9047619047619048
ngram2::to see,FALSE,0,21,2,19,0.9047619047619048
shape::word_le_10,FALSE,0,103,10,93,0.9029126213592233
ngram1::includes,FALSE,0,20,2,18,0.9
ngram2::is still,FALSE,0,10,1,9,0.9
ngram1::total,FALSE,0,10,1,9,0.9
ngram3::to choose from,FALSE,0,10,1,9,0.9
ngram1::selection,FALSE,0,10,1,9,0.9
ngram2::way that,FALSE,0,10,1,9,0.9
ngram1::phone,FALSE,0,10,1,9,0.9
ngram1::bike,FALSE,0,10,1,9,0.9
ngram1::becoming,FALSE,0,10,1,9,0.9
ngram1::measure,FALSE,0,10,1,9,0.9
ngram1::offered,FALSE,0,10,1,9,0.9
ngram2::which will,FALSE,0,10,1,9,0.9
ngram2::make your,FALSE,0,10,1,9,0.9
ngram1::shoes,FALSE,0,10,1,9,0.9
ngram2::published in,FALSE,0,10,1,9,0.9
ngram1::address,FALSE,0,10,1,9,0.9
ngram2::the book,FALSE,0,10,1,9,0.9
ngram1::track,FALSE,0,10,1,9,0.9
ngram1::passage,FALSE,0,9,1,8,0.8888888888888888
ngram2::could have,FALSE,0,9,1,8,0.8888888888888888
ngram1::forest,FALSE,0,9,1,8,0.8888888888888888
ngram3::to help you,FALSE,0,9,1,8,0.8888888888888888
ngram1::industries,FALSE,0,9,1,8,0.8888888888888888
ngram1::expect,FALSE,0,9,1,8,0.8888888888888888
ngram2::the beginning,FALSE,0,9,1,8,0.8888888888888888
ngram2::end of,FALSE,0,9,1,8,0.8888888888888888
ngram2::the website,FALSE,0,9,1,8,0.8888888888888888
ngram1::courses,FALSE,0,9,1,8,0.8888888888888888
ngram2::idea to,FALSE,0,9,1,8,0.8888888888888888
ngram3::good idea to,FALSE,0,9,1,8,0.8888888888888888
ngram2::the national,FALSE,0,9,1,8,0.8888888888888888
ngram1::stage,FALSE,0,9,1,8,0.8888888888888888
ngram2::how the,FALSE,0,9,1,8,0.8888888888888888
ngram1::planner,FALSE,0,9,1,8,0.8888888888888888
ngram1::fan,FALSE,0,9,1,8,0.8888888888888888
ngram2::is essential,FALSE,0,9,1,8,0.8888888888888888
ngram1::conversation,FALSE,0,9,1,8,0.8888888888888888
ngram2::do you,FALSE,0,17,2,15,0.8823529411764706
ngram1::can't,FALSE,0,17,2,15,0.8823529411764706
ngram1::bring,FALSE,0,24,3,21,0.875
ngram1::century,FALSE,0,16,2,14,0.875
ngram1::speed,FALSE,0,16,2,14,0.875
ngram1::provided,FALSE,0,16,2,14,0.875
ngram2::what you,FALSE,0,16,2,14,0.875
ngram2::be more,FALSE,0,16,2,14,0.875
ngram4::will be able to,TRUE,1,8,7,1,0.875
ngram3::will be able,TRUE,1,8,7,1,0.875
ngram1::nothing,FALSE,0,8,1,7,0.875
ngram1::developers,FALSE,0,8,1,7,0.875
ngram2::for people,FALSE,0,8,1,7,0.875
ngram1::researchers,FALSE,0,8,1,7,0.875
ngram2::can see,FALSE,0,8,1,7,0.875
ngram1::worth,FALSE,0,8,1,7,0.875
ngram2::of those,FALSE,0,8,1,7,0.875
ngram1::slowly,FALSE,0,8,1,7,0.875
