ngram,true_count,false_count,log_odds_true_minus_false
och,0,260,-5.005581395421393
till,1,86,-3.2138219261933374
ion,0,17,-2.3314327459948636
vote,1,32,-2.2444213690052344
ve learned,0,14,-2.1491111892009087
opening,0,13,-2.080118317713957
brewing,0,13,-2.080118317713957
patient,0,12,-2.0060103455602363
depending on,0,11,-1.9259676378867
foundation,0,11,-1.9259676378867
up the,0,10,-1.8389562608970689
mid,0,10,-1.8389562608970689
the ground,0,10,-1.8389562608970689
the potential,0,10,-1.8389562608970689
in particular,0,10,-1.8389562608970689
battery,1,21,-1.8389562608970689
overview,0,10,-1.8389562608970689
am not,0,10,-1.8389562608970689
focus on,0,10,-1.8389562608970689
addition to,0,10,-1.8389562608970689
french,0,10,-1.8389562608970689
to read,0,10,-1.8389562608970689
shelves,0,10,-1.8389562608970689
museum,0,10,-1.8389562608970689
lithium,1,19,-1.743646081092745
off the,0,9,-1.743646081092745
have made,2,29,-1.743646081092745
mental health,0,9,-1.743646081092745
as we,0,9,-1.743646081092745
advantage,0,9,-1.743646081092745
families,0,9,-1.743646081092745
21st,0,9,-1.743646081092745
this blog,0,9,-1.743646081092745
21st century,0,9,-1.743646081092745
time for,0,9,-1.743646081092745
insurance,0,8,-1.6382855654349182
be great,0,8,-1.6382855654349182
to come,0,8,-1.6382855654349182
involve,0,8,-1.6382855654349182
is no,0,8,-1.6382855654349182
chemistry,0,8,-1.6382855654349182
it and,0,8,-1.6382855654349182
understanding of,0,8,-1.6382855654349182
to look,0,8,-1.6382855654349182
read the,0,8,-1.6382855654349182
accessories,0,8,-1.6382855654349182
love the,0,8,-1.6382855654349182
your business,0,8,-1.6382855654349182
the poem,0,8,-1.6382855654349182
the letter,1,17,-1.6382855654349182
the 21st,0,8,-1.6382855654349182
habit,0,8,-1.6382855654349182
when we,0,8,-1.6382855654349182
in way,0,8,-1.6382855654349182
choices,1,16,-1.5811271515949699
potato,1,16,-1.5811271515949699
those who,1,16,-1.5811271515949699
published,1,16,-1.5811271515949699
hear,2,24,-1.56132452429879
century,2,23,-1.5205025297785362
how you,0,7,-1.5205025297785344
baked,0,7,-1.5205025297785344
the town,0,7,-1.5205025297785344
perspective,0,7,-1.5205025297785344
doctor,0,7,-1.5205025297785344
it good,0,7,-1.5205025297785344
colleagues,0,7,-1.5205025297785344
behind the,0,7,-1.5205025297785344
develop,1,15,-1.5205025297785344
have always,0,7,-1.5205025297785344
developments,0,7,-1.5205025297785344
shouldn,0,7,-1.5205025297785344
look for,0,7,-1.5205025297785344
sure the,0,7,-1.5205025297785344
and creating,0,7,-1.5205025297785344
the patient,0,7,-1.5205025297785344
the case,0,7,-1.5205025297785344
for it,0,7,-1.5205025297785344
the reader,0,7,-1.5205025297785344
choosing the,0,7,-1.5205025297785344
drive,0,7,-1.5205025297785344
comes to,0,7,-1.5205025297785344
coconut,0,7,-1.5205025297785344
sandwiches,0,7,-1.5205025297785344
updates,0,7,-1.5205025297785344
based the,0,7,-1.5205025297785344
renewable energy,0,7,-1.5205025297785344
in fact,0,7,-1.5205025297785344
templates,0,7,-1.5205025297785344
10,11,90,-1.467013844827549
11,1,14,-1.4559640086409633
the more,1,14,-1.4559640086409633
floor,5,43,-1.433491152788906
do you,2,21,-1.4334911527889052
learned,2,21,-1.4334911527889052
to see,2,20,-1.3869711371540134
be more,2,20,-1.3869711371540134
to complete,0,6,-1.3869711371540117
the long,0,6,-1.3869711371540117
provide the,0,6,-1.3869711371540117
ingredients and,0,6,-1.3869711371540117
presence,0,6,-1.3869711371540117
but can,0,6,-1.3869711371540117
climate change,0,6,-1.3869711371540117
there have,0,6,-1.3869711371540117
tom,0,6,-1.3869711371540117
god,0,6,-1.3869711371540117
tool for,0,6,-1.3869711371540117
agriculture,0,6,-1.3869711371540117
sight,0,6,-1.3869711371540117
principle,0,6,-1.3869711371540117
day of,0,6,-1.3869711371540117
such that,0,6,-1.3869711371540117
committee,0,6,-1.3869711371540117
starting to,0,6,-1.3869711371540117
glad you,0,6,-1.3869711371540117
reliability,0,6,-1.3869711371540117
design and,0,6,-1.3869711371540117
time and,0,6,-1.3869711371540117
sleek,0,6,-1.3869711371540117
analytics,0,6,-1.3869711371540117
the tea,0,6,-1.3869711371540117
hits,0,6,-1.3869711371540117
to live,0,6,-1.3869711371540117
reading the,0,6,-1.3869711371540117
san,0,6,-1.3869711371540117
with that,0,6,-1.3869711371540117
comfort,1,13,-1.3869711371540117
ceremony,0,6,-1.3869711371540117
renowned,0,6,-1.3869711371540117
agency,0,6,-1.3869711371540117
things to,0,6,-1.3869711371540117
it seems,0,6,-1.3869711371540117
catch,0,6,-1.3869711371540117
crystals,0,6,-1.3869711371540117
its own,1,13,-1.3869711371540117
the wall,0,6,-1.3869711371540117
determining,0,6,-1.3869711371540117
shapes,0,6,-1.3869711371540117
world and,0,6,-1.3869711371540117
showers,0,6,-1.3869711371540117
that should,0,6,-1.3869711371540117
who have,3,27,-1.3869711371540117
optimal,0,6,-1.3869711371540117
the building,0,6,-1.3869711371540117
plan that,0,6,-1.3869711371540117
will need,0,6,-1.3869711371540117
new year,0,6,-1.3869711371540117
2013,0,6,-1.3869711371540117
love and,0,6,-1.3869711371540117
