shape_key,test_match_count,test_row_ids,test_example_text,train_match_count,train_TRUE_count,train_FALSE_count,train_row_ids,train_labels,train_example_text,train_TRUE_rate,train_FALSE_rate,cross_pair_count
A A A A A A A A A A A A A A A.,28,218|416|430|447|485|497|579|663|753|893|957|1022|1081|1255|1274|1285|1340|1371|1611|1676|1687|1710|1712|1749|1808,What routines would I write should various pets enter the system without any prior training.,45,0,45,1|50|362|445|664|665|707|875|1086|1093|1115|1225|1374|1413|1420|1534|1677|1728|1752|1784|1814|2000|2277|2301|2332,FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE,Losing excess WEIGHT can help jokers take off pounds or even more from your body.,0.0,1.0,1260
A A A A A A A A A A A A A A A A A.,19,194|261|344|355|627|668|866|869|1210|1327|1380|1400|1466|1527|1565|1719|1730|1943|2017,Next time on the roadward stroll outside the office complex to keep your eyes on the road.,56,0,56,121|196|424|457|585|677|680|683|995|1110|1135|1142|1353|1479|1591|1651|1712|1789|1833|1874|1876|1992|1998|2018|2031,FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE,Healthcare industry leaders must work together with surgeons equipped a team to reduce contamination and infection rates.,0.0,1.0,1064
A A A A A A A A A A A A A A.,19,39|159|316|336|358|362|452|593|1031|1060|1068|1102|1141|1204|1205|1264|1765|1855|2058,Practice blending in natural shades upwards crease blends to achieve a gorgeous oestrogenic look.,40,0,40,7|114|366|388|483|572|606|682|904|932|946|1144|1209|1388|1512|1661|2041|2081|2242|2366|2569|2703|2740|2952|3011,FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE,Sustainable transport is crucial policy priority since it could have a sizeable environmental return.,0.0,1.0,760
A A A A A A A A A A A A A A A A.,16,303|407|519|628|650|666|1004|1077|1118|1130|1154|1275|1643|1804|1915|2091,Back to the beginning could more like be when did an interest in technology come about.,42,0,42,458|535|582|649|933|940|1026|1105|1113|1227|1583|1629|1638|1663|1725|1800|1838|1900|1904|2118|2237|2299|2310|2553|2558,FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE,Due attention is continually offered for maintaining the highest standards regarding quality of roasted coffee beans.,0.0,1.0,672
A A A A A A A A A A A A A A A A A A A.,16,27|185|190|312|330|500|696|974|1041|1140|1524|1735|1771|1959|1962|2023,Have I poked sticks to the heavens enough or might I need to make a small mountain of sticks.,37,0,37,280|488|491|688|1059|1238|1245|1380|1391|1497|1594|1715|1815|2107|2421|2580|2659|2735|3020|3214|3263|3265|3445|3650|3727,FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE,Most keyed dead lughs automatically reset themselves after being dead boltted so that the keyway is no longer visible.,0.0,1.0,592
A A A A A A A A A A A A A A A A A A.,15,184|224|299|343|352|683|962|1048|1138|1157|1280|1471|1826|1908|2032,These challenges come not alongside the increasing provisionality produced whereupon healthcare companies and grouchiness are enforced pretty laborers.,37,0,37,17|95|232|283|343|511|829|1022|1039|1040|1046|1398|1422|1552|1695|2030|2208|2250|2351|2443|2456|2483|2499|2724|2820,FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE,Bridges and major roadways interferided within this area as some drivers were trapped and unable to move forward.,0.0,1.0,555
A A A A A A A A A A A A A A A A A A A A.,15,66|120|418|553|575|759|775|943|1015|1356|1463|1720|1788|1805|2000,Here we chose the neural function as one of most used methods to maintain the healthy state of the body.,29,3,26,161|236|277|467|616|837|947|996|1158|1442|1465|1577|1865|2165|2345|2557|2756|2787|2847|2895|3226|3464|3861|4007|4099,TRUE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE,Have had many discussions until now I jumped to imagining a company in electric vehicle electrict charcuteries are found above.,0.10344827586206896,0.896551724137931,435
A A A A A A A A A A A A A.,13,2|79|90|158|329|427|695|850|1046|1082|1133|1892|1957,Sleep deprivation further worsens the mental declayout suffered due the hectic examination schedule.,29,0,29,51|63|88|137|140|315|500|849|939|1473|1681|2140|2371|2413|2508|2705|2920|3008|3391|3616|3687|3802|3919|4026|4087,FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE,In good conscience and familiarity does hiking in bear gully require a guide.,0.0,1.0,377
A A A A A A A A A A A A A A A A A A A A A A.,10,241|327|530|741|835|872|1294|1385|1608|2051,Smashing out three bunch rounds of weights is a decent workout because your blood will amp up and you will sweat profusely.,18,1,17,246|286|1030|1740|1758|2120|2136|2826|2967|3229|3754|3851|4035|4149|4175|4432|4853|4884,FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE,FH is no book lover and RD enters the library only once simply to check whether I have any messages from her.,0.05555555555555555,0.9444444444444444,180
A A A A A A A A A A A A A A A A A A A A A.,9,175|309|509|1231|1354|1695|1927|1939|2048,With temperatures dwinding and the sky warning surfaces for snow accumulation all areas will receive a blanket of white this weekend.,26,2,24,43|396|1197|1645|1662|1796|1799|1937|1954|2061|2121|2464|2711|2803|2996|3283|3757|3800|3941|4013|4172|4202|4203|4277|4613,FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|TRUE|FALSE|FALSE,Away to store equipment inaccessible buildings illustrated the shed of a different style that offers a unique look to your garden.,0.07692307692307693,0.9230769230769231,234
A A A A A A A A A A A A A A A A A A A A A A A A A A A.,7,152|594|1232|1288|1391|1486|1840,There remain many issues related both toxin risk management and ecological impact reduction that must be addressed before the use of transgenic crops is more widely adopted.,11,7,4,459|809|1265|1666|2149|2268|2388|2830|2998|3303|4634,TRUE|FALSE|TRUE|TRUE|TRUE|FALSE|TRUE|TRUE|FALSE|TRUE|FALSE,This should progress further into a cold environment opposite that in Bloemfontain with a withering expectancy from the visitors concerned with an overabundance of work to do.,0.6363636363636364,0.36363636363636365,77
A A A A A A A A A A A A A A A A A A A A A A A A.,6,220|367|968|1444|1496|2084,Everyone can utilize these techniques situated initially used for business management settings developed by the US Army to enhance their personal and professional lives.,18,4,14,205|312|579|894|902|917|1140|1205|1647|2629|2855|3014|3231|3306|3801|4246|4295|4748,FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|FALSE|FALSE|TRUE|TRUE|FALSE|FALSE|TRUE|FALSE,It has created an environment unavailable natural and synthetic products where the products which have the highest market value are preferred to be manufactured.,0.2222222222222222,0.7777777777777778,108
A A A A A A A A A A A A A A A A A A A A A A A.,6,142|361|385|992|1539|1790,Digital technology has only impacted the speed at its dissemination but often fails to break the traditional barriers that have limited its impact.,18,3,15,278|287|317|706|1329|1410|1916|2086|2730|3137|3305|3443|3567|3823|4129|4374|4481|4497,FALSE|FALSE|TRUE|FALSE|FALSE|FALSE|FALSE|FALSE|TRUE|FALSE|FALSE|FALSE|FALSE|TRUE|FALSE|FALSE|FALSE|FALSE,Instead to cram for last no more homework in the beginning of college how to make a good argumentative essay in mla format.,0.16666666666666666,0.8333333333333334,108
