text,true_label,pred_label,pred_prob_TRUE,error_type,confidence,char_length,word_count,unique_word_ratio,avg_word_length,digit_ratio,uppercase_ratio,punctuation_ratio,non_alphanumeric_ratio,newline_count,url_count,repeated_token_count,very_long_token_count,short_sentence_count,long_sentence_count,approx_sentence_count
"Let us impress the audience once more
I'll start packing the room with the scent of flowers
I'll make sure they're all wearing their best clothes
And if they're not, I'll have them change into something better
I'll hire a band and I'll make sure they're playing all of their hits
I'll make sure the drinks are free and the music's loud
I'll make sure everyone's having a good time
I'll make sure the crowd is cheering for more
I'll make sure we're all dancing to the beat
I'll make sure the night goes on forever

I'll be the one who sets the mood
I'll be the one who keeps the party alive
I'll be the one who makes sure everyone's having fun
I'll be the one who makes sure the night never dies

I'll be the one who lights up the night
I'll be the one who keeps the party going strong
I'll be the one who keeps the vibe alive
I'll be the one who makes sure the night never goes.",FALSE,TRUE,0.9999950804051124,false_positive,0.9999950804051124,878.0,198.0,0.3939393939393939,3.419191919191919,0.0,0.029542097488921712,0.030751708428246014,0.030751708428246014,19.0,0.0,120.0,0.0,0.0,0.0,18.0
"Incorporare la diversité dans lec ou nos en musique , et laiss les couleurs s’entremêler
Il y a un temps où nous avons été très amis
Je te revo, et je me rappelle
Nous étions si heureux, si heureux
Avec la musique, et le soleil, et la mer
Nous avons ri, et chanté, et dansé, et roulé dans la boue
Avec les amis, et la paix, et le soleil, et la mer
Je te revo, et je me rappelle
Et j’oublie tout, et je me rappelle
Je me souviens de la maison, de la rue
Et de la place, et de la fontaine
Et de la rue, et de la place, et de la fontaine
Et de la place, et de la fontaine
Avec la musique, et le soleil, et la mer
Nous avons ri, et chanté, et dansé, et.",FALSE,TRUE,0.9999140324435203,false_positive,0.9999140324435203,649.0,141.0,0.375886524822695,3.4326241134751774,0.0,0.030991735537190084,0.03697996918335902,0.040061633281972264,14.0,0.0,88.0,0.0,0.0,0.0,15.0
"'),
                model('assistant', '', type=transformer),
                model('#shopping_cart', '', type=transformer),
                model('#order', '', type=transformer),
                model('#customer', '', type=transformer),
                model('#shipping_address', '', type=transformer),
                model('#billing_address', '', type=transformer),
                model('#payment', '', type=transformer),
                model('#product', '', type=transformer),
                model('#product_option', '', type=transformer),
                model('#product_option_value', '', type=transformer),
                model('#product_option_value', '', type=transformer),
                model('#product_option_value', '', type=transformer),
                model('#product_option_value', '', type=transformer),
                model('#product_option_value', '', type=transformer),
                model('#product_option_value', '', type=transformer),
                model('#product_option_value', '', type=transformer),
                model('#product_option_value', '', type=transformer),
                model('#product_option_value', '', type.",FALSE,TRUE,0.9995186683595155,false_positive,0.9995186683595155,1163.0,71.0,0.18309859154929578,8.774647887323944,0.0,0.0,0.18916595012897677,0.18916595012897677,18.0,0.0,58.0,11.0,18.0,0.0,19.0
"#246

    [""Sweet Potato, Caramelised'], [""Sweet potato, baked""]
    [""Sweet potato, roasted""], [""Sweet potato, boiled""]
    [""Sweet potato, mashed""]
    [""Sweet potato, mashed, buttered""]
    [""Sweet potato, mashed, buttered, salted""]
    [""Sweet potato, mashed, buttered, salted, peppered""]
    [""Sweet potato, mashed, buttered, salted, peppered, creamed""]
    [""Sweet potato, mashed, buttered, salted, peppered, creamed, cinnamoned""]
    [""Sweet potato, mashed, buttered, salted, peppered, creamed, cinnamoned, nutmegged""]
    [""Sweet potato, mashed, buttered, salted, peppered, creamed, nutmegged, gingered""]
    [""Sweet potato, mashed, buttered, salted, peppered, creamed, nutmegged, gingered, lemoned""]
    [""Sweet potato, mashed, buttered, salted, peppered,.",FALSE,TRUE,0.9759773695248083,false_positive,0.9759773695248083,765.0,80.0,0.2,6.5875,0.00392156862745098,0.030534351145038167,0.1437908496732026,0.1437908496732026,13.0,0.0,64.0,0.0,4.0,0.0,13.0
"We should be celebrating unconstitutional discrimination - not celebrating the rights as if we had won
By the time you read this, the Supreme Court of India is expected to pronounce its verdict on the validity of Section 377 of the Indian Penal Code, which criminalises consensual sexual acts between adults of the same gender.",FALSE,TRUE,0.9672695662447355,false_positive,0.9672695662447355,327.0,54.0,0.8148148148148148,4.981481481481482,0.009174311926605505,0.03383458646616541,0.012232415902140673,0.012232415902140673,1.0,0.0,10.0,1.0,0.0,1.0,2.0
[DECODE ERROR] 0x800A03EB.,FALSE,TRUE,0.9533253604368785,false_positive,0.9533253604368785,26.0,3.0,1.0,7.0,0.23076923076923078,0.9333333333333333,0.11538461538461539,0.11538461538461539,0.0,0.0,0.0,0.0,1.0,0.0,1.0
"Although Team India had been belewhited by a series-damining defeat against Australia, it was a relief for the Indian cricket fans when the selectors announced a 15-man squad for the ICC World Cup 2019, which was to be held in England in May.",FALSE,TRUE,0.9429410839356381,false_positive,0.9429410839356381,242.0,45.0,0.8444444444444444,4.333333333333333,0.024793388429752067,0.06349206349206349,0.02066115702479339,0.02066115702479339,0.0,0.0,7.0,0.0,0.0,1.0,1.0
"PersonallyI think we dramatically minimized everything that goes in to building a sustainable model. Based on the passage above, How did the author's experience with a previous company compare to their current company in terms of providing resources and support to employees.",FALSE,TRUE,0.9127365679949503,false_positive,0.9127365679949503,275.0,43.0,0.8604651162790697,5.348837209302325,0.0,0.017391304347826087,0.014545454545454545,0.014545454545454545,0.0,0.0,6.0,0.0,0.0,1.0,2.0
"Here's MyFitnessPal, displaying important vital information such workout routines that worked best. I have tried to keep things simple by focusing on the most important nutrients, vitamins, and minerals.",FALSE,TRUE,0.902938603177783,false_positive,0.902938603177783,203.0,30.0,0.9666666666666667,5.633333333333334,0.0,0.029585798816568046,0.029556650246305417,0.029556650246305417,0.0,0.0,1.0,0.0,0.0,0.0,2.0
"Incorporative of the appropriate spectrim is important for a balanced approach to eating. A healthy eating plan is not about strict dietary restrictions, but rather about making informed food choices and finding a balance between different food groups that works for you.",FALSE,TRUE,0.8978081602890278,false_positive,0.8978081602890278,271.0,42.0,0.8333333333333334,5.404761904761905,0.0,0.00881057268722467,0.01107011070110701,0.01107011070110701,0.0,0.0,7.0,0.0,0.0,1.0,2.0
