text,true_label,pred_label,pred_prob_TRUE,error_type,confidence
"Then maybe both of us will clearer underst etwand."")

    print(sol)
    print(s2)

    # print(s1.",FALSE,TRUE,0.80576336,false_positive,0.80576336
숙련의 기술과 경 experi) Skype: 21 44 55 77 88.,FALSE,TRUE,0.804512,false_positive,0.804512
"}
        if (user.value.trim.toLowerCase() < ""xiii.-"") { // check if user input is valid
            throw new Error(""Invalid user input.",FALSE,TRUE,0.8011876,false_positive,0.8011876
"Při přípravovaném jídlineno nakصات, rypcem, vystřihem a vložíme do misky.",FALSE,TRUE,0.79939234,false_positive,0.79939234
"Приложиите в изб Millennimited by space, and focus only на тексте.",FALSE,TRUE,0.784322,false_positive,0.784322
"') } else {
  res.setItems([""Key holder"", [...this.getRelatedEntities()]]).",FALSE,TRUE,0.77758783,false_positive,0.77758783
""")
puts message.to_s.endsWith?$? ? """":""..."") # remove trailing newline if present
puts message.",FALSE,TRUE,0.7647344,false_positive,0.7647344
"Hopefully a few rays wonâ-menagerija.com, a book of poems by the late SÃ©amus Heaney, who died last month.",FALSE,TRUE,0.75003064,false_positive,0.75003064
"Report your own successful preycling occurrence before you read more waste. You can use it to make a homemade soap dispenser, for example.",FALSE,TRUE,0.725901,false_positive,0.725901
"Facade Design Manual Lee Woosng is one type information here is a lot of people who have been looking for, this photo is the best photo on this website.",FALSE,TRUE,0.7244295,false_positive,0.7244295
"PersonallyI think we dramatically minimized everything that goes in to building a sustainable model. Based on the passage above, How did the author's experience with a previous company compare to their current company in terms of providing resources and support to employees.",FALSE,TRUE,0.6754683,false_positive,0.6754683
"What I have been thinking isn ’...more. But it costs me a lot of effort to write it out, because it ’.",FALSE,TRUE,0.65576124,false_positive,0.65576124
"==========""
        
message += """"""methods/script/smilify_the_day_04.js
// Copyright 2010 The Android Open Source Project

/**
 * Given a string, returns the length of the shortest word in it.",FALSE,TRUE,0.6336043,false_positive,0.6336043
"In banks in Kenya e g, enterprises bank or the cooperative system. The format of the essay is not specified, so we'll do our best to present it in a way that works best for you.",FALSE,TRUE,0.5826412,false_positive,0.5826412
"'',
      //         ""Início brigade, que, de longascumbus vestigia fumus\n"",
      //         ""Terra, cùm pluvias cùm sordida cùm sordida pluvia\n"",
      //         ""Sed, dum tibi, deus, non fuit tibi, deus, non fuit.",FALSE,TRUE,0.51058537,false_positive,0.51058537
"By leveraging the research questions, researchers continually revise information gathering activities that are relevant where necessary. The research question is the fundamental foundation of a research study, and the research question is the fundamental foundation of a research study, and the research question is the fundamental foundation of a research study.",FALSE,TRUE,0.49686256,false_positive,0.49686256
"However many times it's ""Washington Style from Left Wing,"" with the helpmates of their parents, the Democratic National Committee, the Washington Post, and the New York Times.",FALSE,TRUE,0.4935162,false_positive,0.4935162
"When do you go grocery-boping?""

""I donâ´t know. One week?""

""Two weeks.",FALSE,TRUE,0.48667103,false_positive,0.48667103
"Hence choosing the appropriate temperature relying on whether it as necessary. Based on the passage above, Could you paraphrase the sentence ""The temperature of the mixture should be adjusted to achieve the desired viscosity without overheating the polymer"" in simpler terms.",FALSE,TRUE,0.48282194,false_positive,0.48282194
"Incorporare la diversité dans lec ou nos en musique , et laiss les couleurs s’entremêler
Il y a un temps où nous avons été très amis
Je te revo, et je me rappelle
Nous étions si heureux, si heureux
Avec la musique, et le soleil, et la mer
Nous avons ri, et chanté, et dansé, et roulé dans la boue
Avec les amis, et la paix, et le soleil, et la mer
Je te revo, et je me rappelle
Et j’oublie tout, et je me rappelle
Je me souviens de la maison, de la rue
Et de la place, et de la fontaine
Et de la rue, et de la place, et de la fontaine
Et de la place, et de la fontaine
Avec la musique, et le soleil, et la mer
Nous avons ri, et chanté, et dansé, et.",FALSE,TRUE,0.48129275,false_positive,0.48129275
"Now is a wonderful season isnott it, with crisp weather in all the states. Makes me want to run around and play in the leaves and take walks in the park.",FALSE,TRUE,0.43871146,false_positive,0.43871146
"After investing many sleepessees resting looking into the various gadgets on offer, we’ve located that the very best robot vacuum cleaners are those that are very easy to use, easy to clean up as well as fit your house and also lifestyle.",FALSE,TRUE,0.4089683,false_positive,0.4089683
"Ä°s part, we’
åä»åttes och det var inte jag jag själv kunde se och jag gick och jag tog mig fram och jag tillade mig och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag och jag.",FALSE,TRUE,0.3889667,false_positive,0.3889667
And with our modern technology getting snoopherised every single week | #bussofthefuture | #bussofthefuture | #bussofthefuture | #bussofthefuture | #bussofthefuture | #bussofthefuture | #bussofthefuture | #bussofthefuture | #bussofthefuture | #bussofthefuture | #bussofthefuture | #bussofthefuture | #bussofthefuture | #bussofthefuture | #bussofthefuture | #bussofthefuture | #bussofthefuture | #bussofthefuture | #bussofthefuture | #bussofthefuture | #bussofthefuture | #bussofthefuture | #bussofthefuture | #bussofthefuture | #bussofthefuture | #bussof.,FALSE,TRUE,0.35286194,false_positive,0.35286194
"BoJack Boles, president UNCLE FOODCO LLC, of the Charleston Grain Company, said increased PSCO business has been a boon to his company.",TRUE,FALSE,0.028877515,false_negative,0.9711225
