text,true_label,pred_label,pred_prob_TRUE,error_type,confidence
"These devices harness renewable sources making...
4 Reasons to Go for Geomatic Surveying Services for Your Business
Geomatic surveying is a method of gathering and analyzing geographical data using specialized equipment and techniques.",FALSE,TRUE,0.99684745,false_positive,0.99684745
"If at anytime in case in press my bike get punctuere, I will not go back home on foot.",FALSE,TRUE,0.9959579,false_positive,0.9959579
"This versatile contender has been reinvin... read whole review >
5  Samsung Powerbot R7070
This sleek and stylish robot vacuum cleaner is a breeze to use and clean, thanks to its advanced navigation system and powerful suction.",FALSE,TRUE,0.99544454,false_positive,0.99544454
"Investing services can be a valuable tool [...tag=”finance,”]
Can Affiliate Marketers Use ClickBank to Promote Their Own Products.",FALSE,TRUE,0.9951029,false_positive,0.9951029
Miners often deal unstable millstream sumps without water and the sump pump can easily get clogged up with silt and debris.,FALSE,TRUE,0.9929287,false_positive,0.9929287
"Renewable sources might provide a more efficient impact regeneration for future growth.
Smarter and Greentech solutions are needed to achieve our sustainability goals.",FALSE,TRUE,0.99231285,false_positive,0.99231285
"Lately Nike and Adidas made much-needed updates. Converse seems to want to follow suit with their own version of the sneaker that’s been around since the 1960s, the Chuck Taylor All Star.",FALSE,TRUE,0.992157,false_positive,0.992157
"PersonallyI think we dramatically minimized everything that goes in to building a sustainable model. Based on the passage above, How did the author's experience with a previous company compare to their current company in terms of providing resources and support to employees.",FALSE,TRUE,0.99155957,false_positive,0.99155957
While I appreciate your diligence truthness courage I think your response does little to address the issue of the article which is that the article in question is not written in the first person and therefore cannot be considered a personal narrative.,FALSE,TRUE,0.9906412,false_positive,0.9906412
"While early applications like IP-equipped consumer electronics and industrial automation have proven these protocols, the next generation of protocols is expected to be more advanced in terms of their ability to operate in a variety of environments and support more types of devices.",FALSE,TRUE,0.99010885,false_positive,0.99010885
"Something comforting with plenty leftovers so NO SALTS nor MSG please consider that. Can be made with any type of beans, but I prefer black beans.",FALSE,TRUE,0.98973304,false_positive,0.98973304
"That would take around two good selfies».

    `2**: If you're feeling adventurous, you can try to make a DIY version of a hair straightener or curling iron by using a heated curling rod and a metal comb.",FALSE,TRUE,0.98366565,false_positive,0.98366565
"Here's MyFitnessPal, displaying important vital information such workout routines that worked best. I have tried to keep things simple by focusing on the most important nutrients, vitamins, and minerals.",FALSE,TRUE,0.9824218,false_positive,0.9824218
"Instruction assistant</staffprov‌‌

assistant549: Please provide me with a list of ingredients and step-by-step instructions for making a vegan and gluten-free version of lasagna that is also low in calories and fat.",FALSE,TRUE,0.9823115,false_positive,0.9823115
"Other additional pieces of metal structural underneath automotive components that limit engine swelling include cylinder head braces, engine mounts, and transmission mounts.",FALSE,TRUE,0.9780782,false_positive,0.9780782
"🐛
The heart reminders selector radiation emoji represents several related human emotions such as love, warmth, and tenderness, and is often used to express affection and closeness.",FALSE,TRUE,0.97550905,false_positive,0.97550905
"We should be celebrating unconstitutional discrimination - not celebrating the rights as if we had won
By the time you read this, the Supreme Court of India is expected to pronounce its verdict on the validity of Section 377 of the Indian Penal Code, which criminalises consensual sexual acts between adults of the same gender.",FALSE,TRUE,0.975203,false_positive,0.975203
Researchers incorporate genetic manipulation exercises whereby they use molecular tools methods such CRsIPRs and TALENs to create genetic mutations in cells or organisms.,FALSE,TRUE,0.9693899,false_positive,0.9693899
"Without the provision of adequate ward rod´s and storage space such items imply that you will have to take them off the wall, which means that they will have to be carried around in your hands.",FALSE,TRUE,0.96614575,false_positive,0.96614575
"bringing snow cover on top.
Land stratagem, a company in Tulsa specializing on data analytics for agriculture, has developed a new approach to precision agriculture that is now being tested in the field.",FALSE,TRUE,0.96402454,false_positive,0.96402454
